催化剂组合编号,温度范围,温度中心点,乙醇转化率-β0,乙醇转化率-β1,乙醇转化率-β2,乙醇转化率-R方,乙醇转化率-F统计量,乙醇转化率-F检验p值,乙醇转化率-模型显著,乙醇转化率-二次项t统计量,乙醇转化率-二次项p值,乙醇转化率-保留二次项,乙醇转化率-极值温度,乙醇转化率-极值,乙醇转化率-单调性,乙醇转化率-最优alpha,ILR-C4烯烃-β0,ILR-C4烯烃-β1,ILR-C4烯烃-β2,ILR-C4烯烃-R方,ILR-C4烯烃-F统计量,ILR-C4烯烃-F检验p值,ILR-C4烯烃-模型显著,ILR-C4烯烃-二次项t统计量,ILR-C4烯烃-二次项p值,ILR-C4烯烃-保留二次项,ILR-C4烯烃-极值温度,ILR-C4烯烃-极值,ILR-C4烯烃-单调性,ILR-C4烯烃-最优alpha,ILR-C4分量_250C,ILR-C4分量_275C,ILR-C4分量_300C,ILR-C4分量_325C,ILR-C4分量_350C,ILR-C4分量_400C,ILR-C4分量_450C
A1,250.0-350.0°C,300.0°C,11.399930227735517,0.33317688127967293,0.003153248108744849,0.9751210950740317,39.194695183557386,0.024878904925968337,True,2.499424076156666,0.12966034166321316,True,247.16925693926856,2.5989391234044064,递增,0.23357214690901212,0.7951158286147645,-0.009152436669231457,-0.00010872671727339152,0.6613546285929557,1.95294158560349,0.3386453714070443,False,-0.6527350620296762,0.5809306494765052,False,,,递减,0.12742749857031335,0.7861148600759522,1.3920200333468662,0.7571990089815047,0.2479518223432056,0.2140710564816389,,
A10,250.0-400.0°C,315.0°C,1.2130063480043005,0.13638968888106154,0.0021634495721046016,0.9844834218298537,63.44719892714397,0.015516578170146289,True,6.473921071349849,0.023038381287890264,True,283.47865311037,-0.9365869996900265,U形,2.636650898730358,-1.0818339748386652,0.010625261166160695,3.950452760018529e-05,0.9702087292769817,32.566879684234046,0.029791270723018348,True,1.147366765700377,0.36996379538908575,False,,,递增,0.001,-1.7177806964064724,-1.276294395561929,-1.210101911005375,,-0.7895638729793195,0.15630481798761592,
A11,250.0-400.0°C,315.0°C,0.12042341211364939,0.14808484628365026,0.0026873306616460695,0.978016433247764,44.48852382647533,0.021983566752236006,True,7.277955604065885,0.018360750351575694,True,287.44759485739206,-1.9196234280303255,U形,29.763514416313193,-2.6428063363175083,0.018808337278922532,-8.673672121924407e-05,0.9784826009892019,45.474018513955684,0.021517399010798077,True,-1.995852117458392,0.18406904692900405,True,423.4219982870967,-1.62318758019827,递增,0.001,-4.3710369824193664,-3.291382215373638,-2.983097537848146,,-2.2066220895094864,-1.622218120452263,
A12,250.0-400.0°C,315.0°C,9.11730378391962,0.241690661381281,0.0020364605245255948,0.9985201305984817,674.7353040572509,0.0014798694015183411,True,10.741889952638232,0.008555340737340655,True,255.65913420109524,1.9462372329820568,U形,0.12742749857031335,-1.0003154231049134,0.004140088543995515,5.044140594578131e-05,0.9746498542660749,38.44750497673615,0.025350145733925133,True,3.254488460341887,0.08284943946997503,True,273.96140812921004,-1.0852671251378958,U形,0.0379269019073225,-1.0779708766426983,-1.017301508350736,-1.1359844259038407,,-0.7930709332258218,-0.28378785011612323,
A13,250.0-400.0°C,315.0°C,4.20870914283047,0.19645848290539566,0.0026247373581294426,0.9910368381167831,110.56777184538598,0.008963161883216886,True,6.6931907561595825,0.021601377889364892,True,277.5755921260243,0.5325379455534591,U形,0.7847599703514607,-1.1605658744924008,0.0024772443180049236,4.952532838240827e-05,0.8236300107589839,4.669898854693828,0.1763699892410161,False,1.5282995742773242,0.26602900049278655,False,,,递增,0.011288378916846888,-1.181282780377964,-1.0040345390826053,-1.3182690309789118,,-1.0062203605665612,-0.5880063072602751,
A14,250.0-400.0°C,315.0°C,11.391878582523292,0.2819612832446786,0.0024832066896074818,0.9950195092392583,199.78342638087187,0.004980490760741696,True,6.17831356066397,0.025211031948017215,True,258.22637651857167,3.387896716886413,U形,0.23357214690901212,-0.8640262293287618,0.009502423001954299,2.231733156057467e-05,0.9731315131622392,36.21832219425948,0.026868486837760774,True,0.8143271184105827,0.5009973822948459,False,,,递增,0.23357214690901212,-1.3323198141999135,-1.2611844323841261,-1.187950509235148,,-0.5077066180501798,0.09081907348387518,
A2,250.0-350.0°C,300.0°C,37.5417666856636,0.6629558785914166,-0.0005604939188262888,0.9909743018434586,109.79475323194237,0.009025698156541417,True,-0.3714985703946478,0.7459307180926977,False,,,递增,0.02069138081114789,0.4373405273310023,-0.002892500883386534,0.00017679374647020774,0.9762886720297969,41.17393480688424,0.023711327970203144,True,8.27472371775524,0.014292359457483084,True,308.1804389044778,0.42550956395215656,U形,0.06951927961775606,1.0302993093225727,0.596392095918986,0.500931105887157,0.45503182841119977,0.739412810961595,,
A3,250.0-450.0°C,335.7°C,46.34315927240867,0.42890978304307403,-0.0003236800703465859,0.966319515954165,57.38156937644497,0.001134375005561794,True,-0.4899668542422678,0.6498155705031405,False,,,递增,0.001,0.22122110654681776,0.005965012116945192,3.880279705662398e-06,0.9876652958316946,160.1441400385662,0.00015214492691961734,True,0.679936252229774,0.5338602730635964,False,,,递增,0.0379269019073225,-0.3059825323376806,-0.039690013990791286,-0.035580552748863487,0.1934982996640603,0.28483341995625394,0.6148579376103382,0.9607169029618128
A4,250.0-400.0°C,316.7°C,38.73755828237487,0.5755826405588607,0.00036774999909391383,0.9959111340199833,365.34988144167,0.0002614594323766539,True,0.810312389290773,0.4770729830681424,False,,,递增,0.001,0.02894332492786575,0.0002414425832408345,1.0016435656428867e-05,0.4604056951376201,1.2798662559690384,0.3963702365974009,False,1.2135706353878923,0.3117410552998596,False,,,递增,0.001,0.06407812300014508,0.04849933865843876,-0.0013588457288171102,-0.005651823344972104,0.11153746736078608,0.1026576529361293,
A5,250.0-400.0°C,316.7°C,21.985297095711903,0.34825304236588306,0.0035762147645566488,0.9907348017336044,160.39615773689607,0.000891829996924054,True,7.134324894758536,0.0056691404794393385,True,267.9764920975428,13.507046382200231,U形,0.23357214690901212,-1.127239728076855,0.012722514592692195,6.98920870691898e-05,0.9492251850236373,28.042205140448033,0.011441224943637973,True,1.750970688880359,0.17825079354745244,True,225.65125185942594,-1.7062121995993815,递增,0.23357214690901212,-1.4953107532031835,-1.8821891462567153,-1.2835295580259058,-1.1283078443901131,-0.612070996406673,0.3939377295457688,
A6,250.0-400.0°C,315.0°C,33.304093855337676,0.4652788428007481,0.0016688602583234786,0.9860316252195503,70.59028990256013,0.013968374780449655,True,1.6351663435410093,0.24364040780672847,False,,,递增,0.001,-1.5757276426468438,0.014070886413290216,4.899175670506112e-05,0.982730702750443,56.90623587914983,0.017269297249556947,True,1.4387180321826385,0.2868460258612979,False,,,递增,0.06951927961775606,-2.1701665719620364,-2.275807822733954,-1.7761960423846919,,-1.009075359285834,-0.04655539523490882,
A7,250.0-400.0°C,315.0°C,45.43595639243867,0.3833905209171194,-0.00026946145360649826,0.9997070862441206,3412.974181573646,0.00029291375587936486,True,-2.4609597825742777,0.13296609625243283,True,1026.4014189892162,181.80823669616538,递增,0.001,-0.43228839571861394,0.010705223201528008,4.3827068417715265e-05,0.9632117945680922,26.18262519901729,0.03678820543190775,True,1.1221597752483787,0.37842096840293826,False,,,递增,0.001,-1.051995215109945,-0.6775992236663664,-0.4676058282484386,,-0.19027912997082352,0.8610976220636565,
A8,250.0-400.0°C,315.0°C,18.12136437507049,0.3015517512443067,0.0017529975335086492,0.9990386555172273,1039.2098497677082,0.0009613444827727413,True,9.604854037867154,0.010666605211192559,True,228.9896818220997,5.153083339257556,递增,0.001,-0.006226480132689523,0.012069805626172022,1.1258982753504578e-05,0.844443050676096,5.4285138294771995,0.15555694932390385,False,0.20247685973507382,0.8582724674050701,False,,,递增,100.0,-0.47580172544630117,-0.9752632712168552,-0.44087641480553247,,0.3181085709916048,1.0833076764705007,
A9,250.0-400.0°C,315.0°C,3.23356362026208,0.18442915668381182,0.0029762554619330007,0.9793901242710258,47.52042841743855,0.020609875728974214,True,5.299947475714072,0.03380565864691998,True,284.0165782066251,0.3764404439965987,U形,1.438449888287663,0.00033723765358161385,0.01773343603287675,-6.042808462441276e-05,0.9818072952584176,53.967087863210025,0.01819270474158241,True,-2.513868094357768,0.1284485756903715,True,461.73174024212324,1.301366202441772,递增,100.0,-1.3721446840118523,-0.7824615820028142,-0.4518008400449029,,0.7493679338387301,1.0162418987929238,
B1,250.0-400.0°C,315.0°C,8.383506919634657,0.2336537369576476,0.0021088855315532042,0.9972063371149559,356.9529961734176,0.0027936628850441236,True,8.404611823892616,0.01386308622966892,True,259.6025558377366,1.9115969964269262,U形,0.23357214690901212,-0.24827518940151908,0.017092445296847336,-4.6603925680209217e-05,0.9951840734108951,206.64436116246222,0.004815926589104902,True,-2.4422865480832647,0.13461338669320888,True,498.37988750275815,1.318930158439937,递增,0.001,-1.6084158936134372,-0.9545052249318168,-0.4561692220289759,,0.2010964953264377,0.9006127006877613,
B2,250.0-400.0°C,315.0°C,5.398417754156427,0.20753049172646879,0.0029988253957928786,0.9836287264071726,60.082602665569226,0.016371273592827418,True,5.220524437845277,0.03478862950064587,True,280.3980368417551,1.8079365396905658,U形,0.7847599703514607,-0.32052665534679853,0.012163907367747251,6.069758904386064e-06,0.9877258269644358,80.47188385747171,0.012274173035564218,True,0.27793102254572916,0.8071617880983954,False,,,递增,0.42813323987193913,-1.0094398554992077,-0.9259878540359919,-0.5705274552838,,0.11032252928257855,0.743782747497085,
B3,250.0-400.0°C,316.7°C,0.7669951814821384,0.10356803042940965,0.0016625662632613885,0.9764491902178575,62.19207742221157,0.003614171584600201,True,7.345231846901809,0.005214456739087492,True,285.51962828449587,-0.8459235279931918,U形,4.832930238571752,-1.5211268252575219,0.012532815130568814,-2.4130894576690646e-05,0.999474452275036,2852.6651476135326,1.2048091041605424e-05,True,-7.096656151859172,0.005755789396633126,True,576.3506806748946,0.10615904470706039,递增,0.001,-2.4538316973760286,-2.106870437397823,-1.7346703534991241,-1.3983272085685967,-1.1429172612069471,-0.643573999565278,
B4,250.0-400.0°C,316.7°C,1.4863943546798024,0.16455143797722677,0.002589137379533134,0.9640231552776639,40.193484005525704,0.006823930698215741,True,5.909583580356944,0.00967719833247882,True,284.88939612127405,-1.1281034269380643,U形,4.832930238571752,-1.2679047408119681,0.003910758048684716,4.100647417925226e-05,0.29272314550976564,0.620810246337152,0.5948180914470936,False,0.43432295755587974,0.6933959618165457,False,,,递增,0.001,-1.7466613241486182,-0.5712796973985613,-1.5614908233414058,-1.3344706104028177,-1.2315795378322594,-0.5652032747081969,
