催化剂组合编号,温度范围,温度中心点,乙醇转化率-β0,乙醇转化率-β1,乙醇转化率-β2,乙醇转化率-R方,乙醇转化率-F统计量,乙醇转化率-F检验p值,乙醇转化率-模型显著,乙醇转化率-二次项t统计量,乙醇转化率-二次项p值,乙醇转化率-保留二次项,乙醇转化率-极值温度,乙醇转化率-极值,乙醇转化率-单调性,C4烯烃选择性-β0,C4烯烃选择性-β1,C4烯烃选择性-β2,C4烯烃选择性-R方,C4烯烃选择性-F统计量,C4烯烃选择性-F检验p值,C4烯烃选择性-模型显著,C4烯烃选择性-二次项t统计量,C4烯烃选择性-二次项p值,C4烯烃选择性-保留二次项,C4烯烃选择性-极值温度,C4烯烃选择性-极值,C4烯烃选择性-单调性
A1,250.0-350.0°C,300.0°C,12.10527409700545,0.33318400166996,0.0028213216162416353,0.9787914595904034,46.15081663741041,0.021208540409596632,True,,,False,,,递增,43.590190711350516,0.15435753027951557,-0.0011167956204620202,0.8671890600062089,6.529500205681474,0.13281093999379112,False,,,False,,,递增
A10,250.0-400.0°C,315.0°C,2.7703429731822977,0.1437029854112233,0.0018279017689613573,0.9939379519622751,163.96075151118382,0.006062048037724921,True,,,False,,,递增,1.798375795302594,0.0360483398100399,0.0007191919616521911,0.9781383240419249,44.74214721312918,0.02186167595807509,True,,,False,,,递增
A11,250.0-400.0°C,315.0°C,1.9378365512115014,0.1569225089649545,0.0022944599452250918,0.9871002320638637,76.5207744008078,0.012899767936136342,True,,,False,,,递增,2.3819950705786046,0.04732393084986822,0.00021047069931373234,0.9986866422023671,760.4071365795053,0.0013133577976328636,True,,,False,,,递增
A12,250.0-400.0°C,315.0°C,9.243817300858531,0.24228314082213243,0.0020092085176366395,0.9987266446247682,784.3267198231927,0.0012733553752317661,True,,,False,,,递增,13.478179619509962,0.18193035319729184,0.0010566402717585655,0.9977205774619107,437.70760391717647,0.0022794225380893263,True,,,False,,,递增
A13,250.0-400.0°C,315.0°C,5.666893797930152,0.2032917689110922,0.002310614172395245,0.9963467312443577,272.72746624664495,0.003653268755642314,True,,,False,,,递增,15.364833891362466,0.16492968608051828,-9.935536868610796e-05,0.9784590257542936,45.423155637880285,0.021540974245706446,True,,,False,,,递增
A14,250.0-400.0°C,315.0°C,12.161703536619806,0.28556627156321823,0.00231738120089729,0.9967145665438027,303.3738408743987,0.003285433456197251,True,,,False,,,递增,5.151168814236,0.11528637590879932,0.0010282095894756144,0.998989604438191,988.7113940302658,0.001010395561809041,True,,,False,,,递增
A2,250.0-350.0°C,300.0°C,36.16259621268955,0.6629474662275644,8.852747868054808e-05,0.9887907171886265,88.21177356550925,0.011209282811373456,True,,,False,,,递增,20.067847489304352,0.22159645445672868,0.003571836448727653,0.9749568959486979,38.93115222264176,0.025043104051302056,True,,,False,,,递增
A3,250.0-450.0°C,335.7°C,44.93912093781742,0.4236991943795069,-0.0001432494315278756,0.9651485381992051,55.38640208068359,0.0012146243896522524,True,,,False,,,递增,31.53206165136208,0.28484562299843846,-0.000819130366815309,0.9536667547015758,41.165549641911625,0.002146769619883915,True,,,False,,,递增
A4,250.0-400.0°C,316.7°C,37.4524146192944,0.5710023553542783,0.0006423345527969331,0.9949305434496544,294.38970437032833,0.0003609458955783351,True,,,False,,,递增,15.853202225020977,0.20443235083259767,0.0013313462693055138,0.9754516346768433,59.603864972427836,0.003846217739590485,True,,,False,,,递增
A5,250.0-400.0°C,316.7°C,22.969385220271516,0.35176056716079773,0.003365953217609889,0.9933680314908624,224.67718976398777,0.0005400869492589999,True,,,False,,,递增,11.792597059149388,0.2095526682797732,0.0012092679729729437,0.9899575135133495,147.86539889736974,0.001006379737342744,True,,,False,,,递增
