文物采样点,类型,表面风化,原始状态,预测状态,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
02,铅钡,风化,风化,未风化(预测),65.1265533917622,1.3994587993998797,0.28633727383998187,1.3121060705825824,0.6616603261912167,6.916859061723661,1.703788494267355,0.14578956339806468,17.53146385826517,1.3994587993998797,0.611068235271645,0.10653852709858573,1.3994587993998797,1.3994587993998797
07,高钾,风化,风化,未风化(预测),51.22909630908363,3.086900128459738,13.485413808382043,5.8159205950993424,3.086900128459738,5.439700719133338,0.9817847439946304,4.975997909997137,1.1500779283538145,3.086900128459738,0.9368391126846464,0.5506682309727334,3.086900128459738,3.086900128459738
08,铅钡,风化,风化,未风化(预测),40.84635076158864,3.021302832768023,1.4693652247024356,0.9376003963021952,3.021302832768023,1.8275197640545833,4.935644911336235,6.594878463179629,11.976976089030744,19.784635389538888,0.694254847171055,0.23440009907554882,3.021302832768023,1.6344655557159888
08严重风化点,铅钡,风化,风化,未风化(预测),12.27077058029247,4.370991215630577,2.1257658848594216,2.652307447083637,4.370991215630577,1.986814759667002,7.140515779134036,2.6107352300447086,17.785244970729767,25.45882571463981,1.9187720441428733,0.4406655006126419,4.370991215630577,12.496608441901902
09,高钾,风化,风化,未风化(预测),65.90384458792245,2.590634903736423,4.9643178814194835,4.226268392534455,2.590634903736423,4.547937008881863,2.3176509509131726,2.9853659202159673,0.9651857524450939,2.590634903736423,0.674114885210057,0.46214010177535947,2.590634903736423,2.590634903736423
10,高钾,风化,风化,未风化(预测),68.49931185313179,2.399366191397708,7.900328353944968,1.4609468695487393,2.399366191397708,2.8482314112533604,1.9218573215119459,1.6511818334306896,0.8939252920183515,2.399366191397708,2.399366191397708,0.42801991677392665,2.399366191397708,2.399366191397708
11,铅钡,风化,风化,未风化(预测),61.97493897184484,2.034227489132826,0.05886039451078604,2.022905014742726,0.40919161266875653,3.337504590744074,3.3231440577044626,2.8412882400802397,9.645906415785896,8.420126001535962,1.6502115334240064,0.2132406995597746,2.034227489132826,2.034227489132826
12,高钾,风化,风化,未风化(预测),63.14229927203135,2.4647579205468957,8.205177440886818,4.738674880991375,2.4647579205468957,4.8568243543107545,2.0279399065978425,3.0683779205498696,0.9182881094927532,2.4647579205468957,0.2789434473227154,0.4396850650820447,2.4647579205468957,2.4647579205468957
19,铅钡,风化,风化,未风化(预测),59.06374764403769,2.2167617880187875,1.0780887792634224,1.8237810190909907,0.36724600725723017,4.783816412351848,1.3524037353415972,2.1848025177506405,17.56967397653899,3.3301120997053917,1.6777767812517914,0.11826566335402325,2.2167617880187875,2.2167617880187875
22,高钾,风化,风化,未风化(预测),57.90673340794342,2.3298161920994143,5.6290581287695485,10.229865287118992,1.1144030420606719,10.901970345541127,2.291725188616417,0.9576901142708899,0.8680132392206141,2.3298161920994143,0.3656634981761578,0.4156129798845054,2.3298161920994143,2.3298161920994143
