Feature,Coefficient
ALR_氧化铅(PbO),-1.311814596692266
ALR_氧化锶(SrO)_x_Weathering,1.2557908486956117
ALR_氧化钡(BaO),1.1080951679545175
ALR_氧化铁(Fe2O3),-0.5274067202951621
ALR_二氧化硫(SO2),-0.5251424845145496
ALR_氧化镁(MgO),-0.42303975617878353
ALR_氧化铁(Fe2O3)_x_Weathering,-0.28155935341288346
ALR_氧化钾(K2O),0.07602657439957976
ALR_氧化铝(Al2O3),-0.057659967618874756
ALR_氧化铅(PbO)_x_Weathering,0.0
ALR_氧化铜(CuO)_x_Weathering,0.0
ALR_氧化钠(Na2O),0.0
ALR_氧化钡(BaO)_x_Weathering,0.0
ALR_五氧化二磷(P2O5)_x_Weathering,0.0
ALR_氧化镁(MgO)_x_Weathering,0.0
ALR_氧化锡(SnO2)_x_Weathering,0.0
ALR_氧化铝(Al2O3)_x_Weathering,0.0
Weathering,0.0
ALR_氧化钙(CaO)_x_Weathering,0.0
ALR_氧化钾(K2O)_x_Weathering,0.0
ALR_氧化钠(Na2O)_x_Weathering,0.0
ALR_氧化锡(SnO2),0.0
ALR_氧化锶(SrO),0.0
ALR_五氧化二磷(P2O5),0.0
ALR_氧化铜(CuO),0.0
ALR_氧化钙(CaO),0.0
ALR_二氧化硫(SO2)_x_Weathering,0.0
