文物编号,纹饰,类型,颜色,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),ALR_氧化钠(Na2O),ALR_氧化钾(K2O),ALR_氧化钙(CaO),ALR_氧化镁(MgO),ALR_氧化铝(Al2O3),ALR_氧化铁(Fe2O3),ALR_氧化铜(CuO),ALR_氧化铅(PbO),ALR_氧化钡(BaO),ALR_五氧化二磷(P2O5),ALR_氧化锶(SrO),ALR_氧化锡(SnO2),ALR_二氧化硫(SO2)
01,C,高钾,蓝绿,无风化,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39,,-1.9372931202939367,-2.3951585047956327,-4.378139780287906,-2.8702382870732293,-3.6849925997279613,-2.8856232059127085,,,-4.081873964144735,,,-5.180486252812844
02,A,铅钡,浅蓝,风化,36.28,0.0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0.0,3.57,0.19,0.0,0.0,,-3.542476461077504,-2.7411156958773257,-3.4257521867693628,-1.8455510945202875,-2.970690137521826,-4.938340273213545,0.2679883146425545,,-2.3187010294553883,-5.251997832068587,,
03,A,高钾,蓝绿,无风化,74.38,0.0,8.78,3.94,0.555,4.779999999999999,1.08,2.935,0.83,1.43,0.6799999999999999,0.05,0.0,0.0,,-2.1367106808498986,-2.9380063651870816,-4.8979742537326265,-2.7447465419935595,-4.232226047360795,-3.232479635216864,-4.495516666688418,-3.951512644225108,-4.694849569308909,-7.3049193620509145,,
04,A,高钾,蓝绿,无风化,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36,,-1.9188065958442364,-2.224927179885555,-3.7431490840479937,-2.3253063651931773,-3.46512892250795,-3.4085100285084415,,,-4.42355723883051,,,-5.209486152841421
05,A,高钾,蓝绿,无风化,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47,,-1.7269976862338445,-2.1256368292716092,-3.5493575959106165,-2.1054341219540893,-3.1571628247233487,-2.9355471575871923,,,-4.1822125462144415,-6.933747859256391,,-4.875359726774387
06,A,高钾,蓝绿,无风化,63.730000000000004,0.0,7.525,2.705,1.855,10.600000000000001,4.215,2.3449999999999998,0.275,1.1749999999999998,4.34,0.11499999999999999,0.0,0.0,,-2.136424598691263,-3.159553497027758,-3.5367707132668045,-1.7938014082081812,-2.716005817872384,-3.3023700074279603,-5.445639590641768,-3.9933872617300805,-2.6867810612138894,-6.31747855994509,,
07,B,高钾,蓝绿,风化,92.63,0.0,0.0,1.07,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0,,,-4.460954414792122,,-3.845516218559492,-6.300569905197811,-3.353039733461698,,,-5.022909385080716,,,
08,C,铅钡,紫,风化,12.375,0.0,0.0,2.335,0.0,1.225,0.0,6.775,30.565,30.925,5.574999999999999,0.45,0.0,8.805,,,-1.6676664173338933,,-2.3127374644580634,,-0.6024389416889893,0.9041772550259348,0.9158866098237975,-0.7973859911085717,-3.3141860046725258,,-0.34035856650658447
09,B,高钾,蓝绿,风化,95.02,0.0,0.59,0.62,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0,,-5.081720137841147,-5.032123196701775,,-4.276455659160495,-5.69352167894714,-4.11583246482762,,,-5.603909520257453,,,
10,B,高钾,蓝绿,风化,96.77,0.0,0.92,0.21,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0,,-4.655718637831902,-6.132984777157519,,-4.7830580602085035,-5.91941067685946,-4.746690416037628,,,,,,
11,C,铅钡,浅蓝,风化,33.59,0.0,0.21,3.51,0.71,2.69,0.0,4.93,25.39,14.61,9.38,0.37,0.0,0.0,,-5.07487615188887,-2.2586123661464272,-3.8567187125709776,-2.5246872100104536,,-1.9188894155696028,-0.27987300790761444,-0.8325221778615933,-1.275648640606068,-4.508480676968069,,
12,B,高钾,蓝绿,风化,94.29,0.0,1.01,0.72,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0,,-4.536424808624418,-4.874879206449622,,-4.167938703757341,-5.784249495479203,-4.045599851565097,,,-6.4434951243634675,,,
13,C,高钾,浅蓝,无风化,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0,-3.026885296237316,-1.5495811521611005,-1.9143838954085395,,-2.259630143523649,-3.0199166269212228,-2.523781718565236,,,-3.8386900205985772,,,
14,C,高钾,深绿,无风化,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0,-2.916810732010551,-1.6267145187864822,-2.0269004268165003,-4.550201885467144,-1.9122273929907179,-4.827833622065424,-4.889709025783511,-3.652260292261186,,-5.967267905253789,,,
16,C,高钾,浅蓝,无风化,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0,-3.435215328680038,-1.5016256640127656,-2.064518164373816,-4.83107914081608,-2.3558344019398163,-5.044653241114139,-4.109494024935601,-6.384427586599136,,,-7.396028498277617,,
18,A,高钾,深蓝,无风化,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0,,-2.132418661798181,,-3.949986014982109,-3.2601121597671328,,,,,-4.067769050638492,-7.034513787319231,-3.516592131348934,
19,A,铅钡,浅蓝,风化,29.64,0.0,0.0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0.0,0.0,,,-2.31412237739891,-3.916757542510258,-2.1165592046363386,-3.1039458581942236,-2.133508762950112,0.36788048273365065,-1.712028239519971,-1.2109697858120174,-5.049856007249537,,
20,A,铅钡,浅蓝,无风化,37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,23.55,5.75,0.0,0.0,0.0,,-3.9630909223074178,,,-1.924985004685489,-3.208490962533809,-2.0561600668572773,-1.3905862132014315,-0.461474792898215,-1.8714007585513828,,,
21,A,高钾,蓝绿,无风化,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0,,,-2.7899530101491177,-4.140790059432279,-2.516705831480939,-3.476750963030404,-3.1517974957813917,-4.339640918177444,-3.661607375427547,-4.244330738373119,,,
22,B,高钾,蓝绿,风化,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0,,-4.82669079942917,-4.018768104276797,-4.971872809273668,-3.272822738149881,-5.575407831143926,-5.123422707400869,,,-6.086233454909918,,,
23,A,铅钡,蓝绿,风化,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0,-1.9156963704588166,,-4.678234756845097,-4.3275778852319275,-3.6344307046719817,,-2.889814188882556,-1.15305139540195,-1.5119161827155718,,-5.093750200806762,,
24,C,铅钡,紫,无风化,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0,,,-4.2188817270648995,,-3.000125126554726,,-1.3285099691687343,-0.09174734201980767,-0.19695534890808405,-5.429971999159699,-3.5581698222581077,,
25,C,铅钡,浅蓝,风化,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0,-3.0869016606922846,,-4.386184644822546,,-3.282295299053592,-3.4858942542948315,-3.810820499918983,-0.46154317543518775,-2.029532330558224,-5.584880392047637,-5.533587097660087,,
26,C,铅钡,紫,风化,11.754999999999999,0.0,0.2,2.2249999999999996,0.0,0.94,0.0,7.085,29.725,33.85,4.585,0.535,0.0,8.955,,-4.073716594426133,-1.6645217663738294,,-2.5261540857101203,,-0.506298808849389,0.9277097605848128,1.0576603173662513,-0.9414885762836046,-3.089767214078163,,-0.2720666464793577
27,B,高钾,蓝绿,风化,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0,,,-4.591459602749584,-5.145770338455313,-3.609301445887804,-6.1390221114655965,-4.097801782605958,,,-5.551235446563478,,,
