,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),1.0,0.2366806350493428,-0.5429173969921101,-0.673206078355941,0.36264673222789257,-0.35190918472652216,-0.5637584643900978,0.038183694530443756,0.20541646505295058,0.16578392355233035,-0.050593708342701084,0.21634179435030224,-0.023374100418794893,0.4590651243574501
氧化钠(Na2O),0.2366806350493428,1.0,0.4695660670458704,0.4179808798530506,-0.5420130147858568,0.5162497073223921,-0.21137436129450848,-0.31928058822092553,-0.4281991325454719,0.03925810132556509,0.049267708271652354,-0.21569140801501532,0.03597784446960961,0.06601466992665037
氧化钾(K2O),-0.5429173969921101,0.4695660670458704,1.0,0.8039326805723879,-0.5582629096939846,0.6297841805108476,0.4200729321909774,-0.029989722881468936,-0.45049939123358396,0.13914924668342066,0.23797235074858328,-0.6663819984608027,-0.21080244647924193,-0.2881066377467883
氧化钙(CaO),-0.673206078355941,0.4179808798530506,0.8039326805723879,1.0,-0.7088409186817541,0.7341250332991933,0.37964876033057854,-0.21683017861157608,-0.36641733061496856,0.04465718213382242,-0.012396694214876033,-0.46488311164340823,0.09354468280500482,-0.4402308126208936
氧化镁(MgO),0.36264673222789257,-0.5420130147858568,-0.5582629096939846,-0.7088409186817541,1.0,-0.5592117725948953,-0.027869858078733656,0.15977479216997006,0.2379242612143269,-0.031751751224616105,0.03733509289792622,0.16401648700398885,0.023808024233152647,0.28961292431841307
氧化铝(Al2O3),-0.35190918472652216,0.5162497073223921,0.6297841805108476,0.7341250332991933,-0.5592117725948953,1.0,0.39752199412122285,-0.27966976264189886,-0.6538112630542484,-0.310313497931285,0.17656171686942623,-0.5285623384694884,0.16361870293156425,-0.09054225636115798
氧化铁(Fe2O3),-0.5637584643900978,-0.21137436129450848,0.4200729321909774,0.37964876033057854,-0.027869858078733656,0.39752199412122285,1.0,-0.013422820580716616,-0.40752183885703236,-0.3161444957410286,0.4855371900826446,-0.6155396756019201,-0.28063404841501444,-0.25269566500621693
氧化铜(CuO),0.038183694530443756,-0.31928058822092553,-0.029989722881468936,-0.21683017861157608,0.15977479216997006,-0.27966976264189886,-0.013422820580716616,1.0,0.30636398502182915,0.2224621880146655,0.12390295920661491,-0.234780015459703,-0.023374100418794893,-0.11913454784362892
氧化铅(PbO),0.20541646505295058,-0.4281991325454719,-0.45049939123358396,-0.36641733061496856,0.2379242612143269,-0.6538112630542484,-0.40752183885703236,0.30636398502182915,1.0,0.39808378218128676,-0.40282418077222504,0.37889426360854683,-0.18610323617140284,-0.34147525759955355
氧化钡(BaO),0.16578392355233035,0.03925810132556509,0.13914924668342066,0.04465718213382242,-0.031751751224616105,-0.310313497931285,-0.3161444957410286,0.2224621880146655,0.39808378218128676,1.0,-0.491937847632901,0.029535623095818135,-0.06418672691536806,-0.11777430397669528
五氧化二磷(P2O5),-0.050593708342701084,0.049267708271652354,0.23797235074858328,-0.012396694214876033,0.03733509289792622,0.17656171686942623,0.4855371900826446,0.12390295920661491,-0.40282418077222504,-0.491937847632901,1.0,-0.5811038895542603,-0.21047553631126084,-0.017482090031876642
氧化锶(SrO),0.21634179435030224,-0.21569140801501532,-0.6663819984608027,-0.46488311164340823,0.16401648700398885,-0.5285623384694884,-0.6155396756019201,-0.234780015459703,0.37889426360854683,0.029535623095818135,-0.5811038895542603,1.0,0.36193434330791374,0.04162465768710822
氧化锡(SnO2),-0.023374100418794893,0.03597784446960961,-0.21080244647924193,0.09354468280500482,0.023808024233152647,0.16361870293156425,-0.28063404841501444,-0.023374100418794893,-0.18610323617140284,-0.06418672691536806,-0.21047553631126084,0.36193434330791374,1.0,-0.10793353340882884
二氧化硫(SO2),0.4590651243574501,0.06601466992665037,-0.2881066377467883,-0.4402308126208936,0.28961292431841307,-0.09054225636115798,-0.25269566500621693,-0.11913454784362892,-0.34147525759955355,-0.11777430397669528,-0.017482090031876642,0.04162465768710822,-0.10793353340882884,1.0
