,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),0.0,0.3443567169967373,0.019899152422891926,0.0021972052201727826,0.13913535748818517,0.15210693918997698,0.01482300382529542,0.8804304907652736,0.4135189333421996,0.5108981618676631,0.8419751394773468,0.38855290689546773,0.9266500112348955,0.0553182181288956
氧化钠(Na2O),0.3443567169967373,0.0,0.04928797877044256,0.08433279876977622,0.020146922183917382,0.02828435172190952,0.3997997314898375,0.19654240578788723,0.07625988474488613,0.8770898817466958,0.8460693780619472,0.39001546979837076,0.8872950153234768,0.7946687115965838
氧化钾(K2O),0.019899152422891926,0.04928797877044256,0.0,5.81394582016776e-05,0.01604846418798573,0.005094531151799309,0.08263134643800096,0.9059670248195717,0.060634510525851636,0.5818609708587736,0.3416518481171227,0.002529546959121581,0.4011058398416748,0.24630479285800208
氧化钙(CaO),0.0021972052201727826,0.08433279876977622,5.81394582016776e-05,0.0,0.000990180216173196,0.0005230974237111765,0.12020201359890066,0.38745663254973295,0.13476844834674656,0.8603337173723742,0.9610624364673706,0.051912443346167535,0.7119820534489868,0.06750025815330482
氧化镁(MgO),0.13913535748818517,0.020146922183917382,0.01604846418798573,0.000990180216173196,0.0,0.01583133692422728,0.9125888886029427,0.5265434893262085,0.34175232768733477,0.9004674116478593,0.8830703742288879,0.5154769608834286,0.9252918865100406,0.2437329013104607
氧化铝(Al2O3),0.15210693918997698,0.02828435172190952,0.005094531151799309,0.0005230974237111765,0.01583133692422728,0.0,0.10234171662387906,0.2610264770684414,0.0032499694047888415,0.21011375437821905,0.48339871860701156,0.024126396083274305,0.5165101208418834,0.7208704574757628
氧化铁(Fe2O3),0.01482300382529542,0.3997997314898375,0.08263134643800096,0.12020201359890066,0.9125888886029427,0.10234171662387906,0.0,0.9578420167648599,0.09322427034629754,0.20122110252123085,0.04108693098920489,0.006540404543150847,0.25931669432924054,0.3116950738448766
氧化铜(CuO),0.8804304907652736,0.19654240578788723,0.9059670248195717,0.38745663254973295,0.5265434893262085,0.2610264770684414,0.9578420167648599,0.0,0.2162805398434058,0.3749380083577073,0.624253064569336,0.34835898199544457,0.9266500112348955,0.63775390367739
氧化铅(PbO),0.4135189333421996,0.07625988474488613,0.060634510525851636,0.13476844834674656,0.34175232768733477,0.0032499694047888415,0.09322427034629754,0.2162805398434058,0.0,0.10181316983900195,0.09743107493141986,0.121001362226912,0.45967515348213905,0.16548489339857164
氧化钡(BaO),0.5108981618676631,0.8770898817466958,0.5818609708587736,0.8603337173723742,0.9004674116478593,0.21011375437821905,0.20122110252123085,0.3749380083577073,0.10181316983900195,0.0,0.03811036645809779,0.9073850231305114,0.800244021052166,0.6416253782710597
五氧化二磷(P2O5),0.8419751394773468,0.8460693780619472,0.3416518481171227,0.9610624364673706,0.8830703742288879,0.48339871860701156,0.04108693098920489,0.624253064569336,0.09743107493141986,0.03811036645809779,0.0,0.011434589121520376,0.40185345708008535,0.9451088528943532
氧化锶(SrO),0.38855290689546773,0.39001546979837076,0.002529546959121581,0.051912443346167535,0.5154769608834286,0.024126396083274305,0.006540404543150847,0.34835898199544457,0.121001362226912,0.9073850231305114,0.011434589121520376,0.0,0.1399713147663323,0.8697386866087418
氧化锡(SnO2),0.9266500112348955,0.8872950153234768,0.4011058398416748,0.7119820534489868,0.9252918865100406,0.5165101208418834,0.25931669432924054,0.9266500112348955,0.45967515348213905,0.800244021052166,0.40185345708008535,0.1399713147663323,0.0,0.6698910810776096
二氧化硫(SO2),0.0553182181288956,0.7946687115965838,0.24630479285800208,0.06750025815330482,0.2437329013104607,0.7208704574757628,0.3116950738448766,0.63775390367739,0.16548489339857164,0.6416253782710597,0.9451088528943532,0.8697386866087418,0.6698910810776096,0.0
