文物采样点,二氧化硅(SiO2)_预测_真实值,氧化钠(Na2O)_预测_真实值,氧化钾(K2O)_预测_真实值,氧化钙(CaO)_预测_真实值,氧化镁(MgO)_预测_真实值,氧化铝(Al2O3)_预测_真实值,氧化铁(Fe2O3)_预测_真实值,氧化铜(CuO)_预测_真实值,氧化铅(PbO)_预测_真实值,氧化钡(BaO)_预测_真实值,五氧化二磷(P2O5)_预测_真实值,氧化锶(SrO)_预测_真实值,氧化锡(SnO2)_预测_真实值,二氧化硫(SO2)_预测_真实值
02,49.56958372965827,1.8832796727584689,0.40144082278940896,1.6554290234064855,1.217686378373917,5.715368947832559,1.539951082171063,0.23722484839666952,29.623905580284138,2.2990312453287305,1.9015732239491656,0.18540699270544983,1.8868387795871984,1.8832796727584689
07,78.40021674954394,1.2101911732062347,0.37048083860090036,1.015793730206593,1.1349444683912462,2.3781541607308894,0.8720882326658352,0.2548088198673198,9.51978215825591,1.477352174649099,0.6479601047882133,0.2955579688436684,1.2124782470439284,1.2101911732062347
08,31.00842642230466,3.0919814938724968,0.9465611071624744,2.483573678986719,2.8997297043090127,3.190007224548017,2.57184697650159,0.6891123729184433,37.09944041376878,7.122275080069803,2.4007980625858547,0.30644110920547163,3.097824859894192,3.0919814938724968
08严重风化点,11.602847647589352,3.9465089971236087,1.2081611526935074,3.3481132874711066,3.7011247932630753,3.5158583089188165,3.282625478872682,0.6897697113878303,47.64410615847161,8.737866505685862,3.9935405634343066,0.42900111021936593,3.953967287745272,3.9465089971236087
09,83.59516579684893,0.9245024420869923,0.2005369001319089,0.766936702865094,0.8670191585358894,1.8132161384583165,0.7074566518531595,0.18278021623267218,7.272455830368163,1.128594988564559,0.46479725591106436,0.22578586757521965,0.9262496084810251,0.9245024420869923
10,84.80706156796616,0.8571609053167012,0.23315081186247644,0.6561641530709479,0.8038647525688389,1.3750643492030221,0.6517265519566493,0.15384769013597077,6.742724020676552,1.0463871787618941,0.7475668717678989,0.20933943475757869,0.8587808066386137,0.8571609053167012
11,45.054991596721095,2.3826415563334744,0.22418673697654623,2.104453195636694,1.0079330950286176,4.103904813587284,1.9818325222472948,0.48836592157308795,29.81919171653975,4.7003559728445525,3.0997653647717085,0.26259157164411245,2.3871443797623173,2.3826415563334744
12,83.63809939045643,0.9199342496783552,0.2513758503315871,0.7734367970011048,0.8627350050735951,1.9145515069493655,0.7005462448834033,0.18453092049118908,7.23652084955682,1.123018325026983,0.32897362352903015,0.2246702044473795,0.9216727828964282,0.9199342496783552
19,41.109205927201934,2.4137780649420484,0.7389398811486733,2.0992546122323725,0.9273142896391325,4.786023864011494,1.8961045456574024,0.4634295671011718,34.09082535942887,3.380986910231191,3.0523977640629427,0.20962141785214541,2.4183397315485746,2.4137780649420484
22,82.59764454418885,0.9302001451441411,0.2223037287988801,0.8365482415794918,0.6049254106773685,3.0186216792251033,0.7157492578736971,0.1515761613144731,7.317275932437477,1.1355505127729224,0.38026877699370787,0.2271773845354564,0.9319580793142787,0.9302001451441411
26,32.084721570036336,3.0170851929437377,0.923632792206517,2.4363444277378727,2.829490270801282,2.3386408950154323,2.5095497649961174,0.6861678039138732,37.25398843164713,7.249054948430582,2.3004085508756082,0.33104314189236594,3.0227870165594175,3.0170851929437377
26严重风化点,11.5706094691765,3.8001542316726935,0.4416760969039296,3.2772981351288277,3.563870006458489,3.9912920239084064,3.1608905778820175,0.7154071941397293,47.841823467567124,9.65034134555186,3.9007230077288035,0.47842427774838187,3.807335934460554,3.8001542316726935
27,82.23528238587483,0.9799039529564655,0.2999820576098202,0.8360957979901076,0.5639310808970793,2.577667708528707,0.7266547340677868,0.19093647965024613,7.7082632683932895,1.1962269002608061,0.48407960404929673,0.239316257141746,0.9817558196233837,0.9799039529564655
34,55.441323754160045,1.6185239725349438,0.21930911680040857,1.3386049602162575,1.5178881405327507,3.0748932791110533,1.247031649397897,0.3028857254912306,27.532394618977985,3.556129855864377,0.7209635593652369,0.1899446629073632,1.6215827321055143,1.6185239725349438
36,62.617244187546206,1.2905976146785954,0.15854214773732644,1.0330965414482804,1.2103514354824934,2.9090606602604256,0.9921158233714064,0.2218674362756585,23.19206853853063,3.273528056773994,0.3468123357721579,0.17108096320990748,1.2930366442343153,1.2905976146785954
38,50.5818283845518,1.8052357834557258,0.5526443108613355,1.4555706995907292,1.6929906711737848,3.974558188588616,1.3387988254949268,0.2852904968039852,29.876118819623287,3.712710594869601,0.8622248576981026,0.24814518440834502,1.8086473994240289,1.8052357834557258
39,42.15001220767356,2.2676959212830363,0.6942191491803325,1.8571480478853222,2.1266961772947703,1.8469520630364622,1.8862230936163757,0.35091316997027855,36.77925084319119,3.803424341185433,1.3750812956240877,0.32270625350742305,2.2719815152687124,2.2676959212830363
40,34.979938139086585,2.434894677428849,0.7454043972315278,2.1014600732431683,2.2834989268197408,1.9997989105164593,1.743898500218789,0.4687588377388647,42.00040009877296,4.1470040334062475,1.8447266392547137,0.3758258376915912,2.439496251161645,2.434894677428849
41,34.047224454888386,2.541333508494285,0.3478942763431897,2.338584535297664,2.268179566509463,5.294980789183498,2.0507272252059403,0.29129096189044096,37.58664561140093,4.613148981755822,3.2104026337898155,0.3221177116177109,2.5461362351285683,2.541333508494285
43部位1,25.051978686508825,3.0238231041245,0.9256954968766011,2.745685175135272,1.388013126813681,4.6040776784692845,2.2923534659482665,0.6221515241925806,45.640474789973865,4.619524268717746,2.637206112304718,0.3956558054616648,3.0295376613484915,3.0238231041245
43部位2,33.97894422207423,2.7362648866074193,0.8376641081745512,2.5171302582353015,1.2716370827195438,5.0523377296278715,2.1433531690011964,0.44073023520771226,38.20436594456536,3.1418706187811853,3.8814557412497184,0.31654511380042294,2.7414360033480745,2.7362648866074193
48,59.448687464986584,1.6156896365528437,0.2134480270777104,1.447159300295639,1.2185725087360564,7.832659705686441,1.2798247866295807,0.31104786716154426,19.798958638760038,2.878201923420217,1.0260268805677164,0.17796899870092475,1.13606462487184,1.6156896365528437
49,37.96685827920553,2.6388796952870814,0.807851176014353,2.3441446357287252,1.4536184183800298,5.867728372184016,2.1384470243249614,0.3615314630318484,33.82324877936548,3.627252029844323,3.3946176620572928,0.29307600018645674,2.643866769102801,2.6388796952870814
50,34.563035506643395,2.584980513563886,0.791350796167913,2.299112899499936,0.9747666785191925,4.053689963342538,1.8934558413167903,0.4158053313308248,38.4222320587453,5.369126727188816,3.085143174308108,0.37245426953335553,2.58986572627607,2.584980513563886
51部位1,38.729594587808066,2.4681677811038076,0.7555904303354501,2.1963816051524896,1.398410203203466,6.219531547715331,1.9354333993427397,0.40330087547677407,35.01434529804953,4.226229453594519,3.11447727596073,0.2842555764861301,0.7861141846671589,2.4681677811038076
51部位2,33.44838242770924,2.7376328234954954,0.838082880362506,2.472457030154201,1.5659117224746784,4.308661594472506,1.999906427874639,0.38638371007156147,39.437248778976844,3.3419908314705484,3.3143062429623975,0.6685961810549398,2.7428065254249514,2.7376328234954954
52,45.249952366778054,2.073738002516674,0.634842007792439,1.833672630581483,0.9660655138595814,2.9211693811520165,1.510853223121723,0.3206726116290523,33.41851732251963,3.98765040744183,2.646757780981726,0.284713703025801,2.0776570460833375,2.073738002516674
54,36.00950814914592,2.4802726802488064,0.28681652793405227,2.1864755093874706,1.4569941057597282,5.538784656665844,2.0630400945926333,0.3689149209248174,37.94445699451162,3.917460723093184,2.401414363713579,0.3806285823964629,2.4849600113770896,2.4802726802488064
54严重风化点,26.00069200217996,3.0878764103590672,0.9453044009360086,2.7285890405139286,1.3625635708818191,5.16602805872999,2.568432451982855,0.46319422273263905,43.18673960411391,3.7695539604751422,4.096709669816477,0.4427281785102726,3.0937120184088704,3.0878764103590672
56,36.000274340434046,2.811468321269738,0.8606864472530529,2.2112238266284048,2.6366581494959735,3.324947866976627,2.33852185594153,0.3822424500285191,36.258996883167924,5.00872230717142,1.8513790732200788,0.6866285962913691,2.8167815608515845,2.811468321269738
57,29.994352817008345,3.1192078316437466,0.9548960187639203,2.4233271580908973,2.92526317549288,3.5662565046165087,2.5944932874892093,0.4365244144665434,38.917366235816964,5.341820808882032,2.7203952334180412,0.7617860314411518,3.1251026512259963,3.1192078316437466
58,44.099813339198626,2.219701807731713,0.27352887205679,1.9859109443138345,1.0737837499542184,4.773881311020465,1.7171553968453612,0.4308107139908977,32.00461114870293,3.7204675026298615,3.0342866014975978,0.22245010404810653,2.2238967002779004,2.219701807731713
