文物编号,纹饰,类型,颜色,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),亚类
1,C,高钾,蓝绿,无风化,5.578037620200615,-1.6386883125978793,-0.7622045635971029,1.18323125580101,-0.4104151624073254,0.4074517983184746,-0.39487799112101,4.368542190227644,3.907342919969932,-0.0951856213008634,3.557709671224292,3.2726169151348947,0.4203120495212661,高钾-亚类1
2,A,铅钡,浅蓝,风化,5.120107428511074,-0.0636754836439377,-0.7390241465394519,0.0399118510061141,-1.4099317494802113,-0.1499334759003442,1.710721967192017,-3.3998587035561476,4.082654925507198,-1.0002564328573096,1.895312854640868,3.654334018835572,3.383255885920578,铅钡-亚类1
3,A,高钾,蓝绿,无风化,5.627753856427727,-1.5045682385958068,-0.3699479856901574,1.4664880954936363,-0.7682364659994309,0.727860106191701,-0.3048317946115189,0.921966359708484,0.3085442511272388,0.9878327253295968,3.400715350548538,3.756475371925816,3.477820403629491,高钾-亚类1
4,A,高钾,蓝绿,无风化,5.5419449047840645,-1.6329443576427658,-0.8895578261883997,0.6688904237913245,-0.7481606561444828,0.4229594719751788,0.3133315217607,4.452018228009934,3.982006157959349,0.3467994458526316,3.5851783930119083,3.2978844641668967,0.5208363373638097,高钾-亚类1
5,A,高钾,蓝绿,无风化,5.49421677898401,-1.761999830252549,-0.9006904036075604,0.5757427794209903,-0.8480237524376243,0.2570006900479915,0.0152666518804823,4.571425891224401,4.088807618752128,0.2776484581697836,2.8878517026487165,3.4598783170982794,0.4138836936762541,高钾-亚类1
6,A,高钾,蓝绿,无风化,5.5184834581779665,-1.4417145298562395,-0.1333905032911315,0.2340694955597421,-1.3999890662088446,-0.329411337313809,0.2632148888892207,2.2528276540585908,0.6372627814330762,-0.6693742568307561,2.8650759055492823,4.063991946046104,3.7625254289632495,高钾-亚类1
7,B,高钾,蓝绿,风化,5.782911451155363,3.3387654830243183,-0.8584275793418279,2.6599346069438043,-1.7834191053163446,0.765673804288226,-2.094069044427995,2.7024771174638365,2.4171690169147286,-0.8221083810820488,2.270550673164725,2.0886028446252447,1.9336704939961784,高钾-亚类1
8,C,铅钡,紫,风化,4.359551635942297,2.516988310557358,-2.115317522675426,2.3843210020429546,-1.5701362168580555,2.2398068279479775,-3.2638850865885445,-4.29892745479208,-3.856186077029778,-1.8545102169133925,0.7167240929088762,3.39858759376683,-2.466609010881357,铅钡-亚类3
9,B,高钾,蓝绿,风化,5.800924524407251,0.8000417820636417,0.5227627583530726,3.2417160885746674,-0.9382592047308244,0.5189744449067126,-1.0263480723068288,2.9489680517617294,2.637637210885738,-0.0930143260598333,2.4042439780813627,2.211582798456023,2.047527807121814,高钾-亚类1
10,B,高钾,蓝绿,风化,5.813828963750522,0.444762632307431,1.5938446781295097,3.103055013132399,-0.6056724537262872,0.5401714416859561,-0.6291771657319642,2.7216672061270772,2.4343331540128306,2.2019371872499103,2.010084446110421,1.849008763249305,1.711849477671794,高钾-亚类1
11,C,铅钡,浅蓝,风化,5.065633179591085,1.2189743467961052,-1.5770109554991223,0.2078423368646998,-1.0462702780111095,3.4108047692354098,-1.952402546588632,-3.267136687565982,-2.397926852855591,-1.7465019442792562,1.5008701737554708,3.931831771516447,3.640168882994245,铅钡-亚类3
12,B,高钾,蓝绿,风化,5.795471135692574,0.3579585256047378,0.5462250073778401,3.3936351173031607,-0.9062395165488504,0.7305008352410107,-0.9937255399863082,3.036683178825756,2.716092005593816,0.7858175176902161,2.395278079995638,2.203335371755625,2.039892173711184,高钾-亚类1
13,C,高钾,浅蓝,无风化,2.140331118843258,0.0295069649904973,0.3367930180595486,5.4601677028654345,-0.5331285425816888,0.2533126518347367,-0.2447165195827635,4.690166306354489,4.195012274715096,0.0868246285935012,3.8023831517574007,3.4976837826069764,3.238225948586026,高钾-亚类1
14,C,高钾,深绿,无风化,2.062496648042358,0.137423847784697,0.4437444972558456,2.6006324452755014,-0.2847227262704774,2.4586922263740205,2.187169068472572,0.7622239556846201,4.601793753060164,2.429963860273957,3.957962409081807,3.640795884553385,3.3707220090887096,高钾-亚类1
