,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),1.0,0.22498927153640635,-0.4531667419818177,-0.21459556707804756,0.0740216515603917,0.7146938775510204,-0.014657470698034664,-0.24837969678213018,0.05826530612244898,0.05480151064356371,-0.5448933721692505,-0.030296969852865348,-0.11498072273221556,-0.018839746799028563
氧化钠(Na2O),0.22498927153640635,1.0,-0.35660208327153436,-0.3165119100604389,-0.09824521307922737,0.1434658551719633,0.26602391343246606,0.025090529574052993,-0.13271551455247632,0.2305159453270837,-0.11793081594233071,-0.06675439156476,0.1802619487150575,-0.011936264171672725
氧化钾(K2O),-0.4531667419818177,-0.35660208327153436,1.0,-0.05326287271246944,-0.04403056857849424,-0.5694167210056834,-0.17656959057515154,-0.033207099654070454,0.21650325970891485,-0.20666337045593658,0.11315092962226872,-0.011759661921512623,-0.06266879999638451,-0.22210406654292683
氧化钙(CaO),-0.21459556707804756,-0.3165119100604389,-0.05326287271246944,1.0,-0.5630867345699255,0.2916560441976318,-0.3884953448882358,0.004747320061255743,0.11885685510696141,-0.45592814294466283,0.5371819570075658,-0.15357112312712604,-0.40272950398249,0.040311805150201004
氧化镁(MgO),0.0740216515603917,-0.09824521307922737,-0.04403056857849424,-0.5630867345699255,1.0,-0.19504284608597527,-0.0033072871961821143,-0.0493253041675934,-0.015981947495993663,0.390966743904668,-0.5465037229352245,0.23835710949801758,0.19652916210320004,0.07354833714147252
氧化铝(Al2O3),0.7146938775510204,0.1434658551719633,-0.5694167210056834,0.2916560441976318,-0.19504284608597527,1.0,-0.09580850372328498,-0.28915540619838703,-0.014591836734693877,-0.19583631084729747,-0.13743768268658585,-0.18045120895473515,-0.3344540617312081,0.0019422419380441818
氧化铁(Fe2O3),-0.014657470698034664,0.26602391343246606,-0.17656959057515154,-0.3884953448882358,-0.0033072871961821143,-0.09580850372328498,1.0,0.016694517954015504,-0.5254756739664033,0.12165872269878386,-0.1785461709130495,-0.05977605118306295,0.15975733916663157,0.06236543673649576
氧化铜(CuO),-0.24837969678213018,0.025090529574052993,-0.033207099654070454,0.004747320061255743,-0.0493253041675934,-0.28915540619838703,0.016694517954015504,1.0,-0.1318193459601895,0.41708774030491264,-0.1270139848839234,-0.2654732815124252,-0.16935815007078422,-0.04293450090696107
氧化铅(PbO),0.05826530612244898,-0.13271551455247632,0.21650325970891485,0.11885685510696141,-0.015981947495993663,-0.014591836734693877,-0.5254756739664033,-0.1318193459601895,1.0,-0.051229717584858434,-0.07142873612840789,0.19211963653320357,-0.03593147585381736,-0.06603622589350218
氧化钡(BaO),0.05480151064356371,0.2305159453270837,-0.20666337045593658,-0.45592814294466283,0.390966743904668,-0.19583631084729747,0.12165872269878386,0.41708774030491264,-0.051229717584858434,1.0,-0.38740109674182255,0.03244972840410447,0.026222942110550772,0.04826963788497679
五氧化二磷(P2O5),-0.5448933721692505,-0.11793081594233071,0.11315092962226872,0.5371819570075658,-0.5465037229352245,-0.13743768268658585,-0.1785461709130495,-0.1270139848839234,-0.07142873612840789,-0.38740109674182255,1.0,-0.3377783776001266,0.0038441741886293536,0.098975320249014
氧化锶(SrO),-0.030296969852865348,-0.06675439156476,-0.011759661921512623,-0.15357112312712604,0.23835710949801758,-0.18045120895473515,-0.05977605118306295,-0.2654732815124252,0.19211963653320357,0.03244972840410447,-0.3377783776001266,1.0,0.22862303237109108,0.048218321697354107
氧化锡(SnO2),-0.11498072273221556,0.1802619487150575,-0.06266879999638451,-0.40272950398249,0.19652916210320004,-0.3344540617312081,0.15975733916663157,-0.16935815007078422,-0.03593147585381736,0.026222942110550772,0.0038441741886293536,0.22862303237109108,1.0,0.02264325323475046
二氧化硫(SO2),-0.018839746799028563,-0.011936264171672725,-0.22210406654292683,0.040311805150201004,0.07354833714147252,0.0019422419380441818,0.06236543673649576,-0.04293450090696107,-0.06603622589350218,0.04826963788497679,0.098975320249014,0.048218321697354107,0.02264325323475046,1.0
