,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),0.0,0.12011997440567297,0.0010762329162762256,0.1386860828927601,0.6132289763490735,8.026609960895426e-09,0.9203769618629759,0.08527696659450482,0.6908761515175966,0.7084126342850726,5.164906040606325e-05,0.8362822094889157,0.43145657701114737,0.8977651047889972
氧化钠(Na2O),0.12011997440567297,0.0,0.011901091087511393,0.026712436773585663,0.5018444548507051,0.3253933037485398,0.06466864880021424,0.8641242752574261,0.36332048196504396,0.11104818428073727,0.41965112048609576,0.6485865316458415,0.2151817961973978,0.9351240666073478
氧化钾(K2O),0.0010762329162762256,0.011901091087511393,0.0,0.7162513346428188,0.7638697267095185,1.956394710360163e-05,0.22488414892374645,0.8208037333252505,0.13512730714359994,0.15423497120933355,0.43887150237832595,0.9360819298646095,0.6688128747017705,0.12507359153453382
氧化钙(CaO),0.1386860828927601,0.026712436773585663,0.7162513346428188,0.0,2.5321562653422995e-05,0.0420191196533485,0.005806112896565743,0.9741741754204489,0.41598362758954377,0.0009939522081231467,6.901682416358686e-05,0.2921065344716934,0.0041188526210282315,0.7833087215175888
氧化镁(MgO),0.6132289763490735,0.5018444548507051,0.7638697267095185,2.5321562653422995e-05,0.0,0.1792740634859136,0.9820065115108263,0.7364420704659433,0.9132084596787362,0.005475871064062152,4.857153114236255e-05,0.09908729692204134,0.17591779904223134,0.6155066128153084
氧化铝(Al2O3),8.026609960895426e-09,0.3253933037485398,1.956394710360163e-05,0.0420191196533485,0.1792740634859136,0.0,0.5125609316586334,0.04389331570234933,0.9207323619506214,0.1774766468973034,0.34634272877577565,0.21469247098935224,0.018832704758160686,0.9894325517918428
氧化铁(Fe2O3),0.9203769618629759,0.06466864880021424,0.22488414892374645,0.005806112896565743,0.9820065115108263,0.5125609316586334,0.0,0.9093545837663504,0.00010575722507520787,0.4049992397080777,0.21965337410404168,0.6832769076027603,0.2728630870415155,0.6703242622979613
氧化铜(CuO),0.08527696659450482,0.8641242752574261,0.8208037333252505,0.9741741754204489,0.7364420704659433,0.04389331570234933,0.9093545837663504,0.0,0.36659844618571824,0.0028691440681725025,0.3844778145283497,0.06524523794874751,0.2446957917238258,0.7695848098591623
氧化铅(PbO),0.6908761515175966,0.36332048196504396,0.13512730714359994,0.41598362758954377,0.9132084596787362,0.9207323619506214,0.00010575722507520787,0.36659844618571824,0.0,0.7266538122177837,0.6257501304915403,0.186008907670454,0.8063740765494778,0.6521243174895255
氧化钡(BaO),0.7084126342850726,0.11104818428073727,0.15423497120933355,0.0009939522081231467,0.005475871064062152,0.1774766468973034,0.4049992397080777,0.0028691440681725025,0.7266538122177837,0.0,0.005957795111339807,0.824825814676085,0.8580534424369144,0.7418859567677755
五氧化二磷(P2O5),5.164906040606325e-05,0.41965112048609576,0.43887150237832595,6.901682416358686e-05,4.857153114236255e-05,0.34634272877577565,0.21965337410404168,0.3844778145283497,0.6257501304915403,0.005957795111339807,0.0,0.017613733662566945,0.9790861487907987,0.49865599238882485
氧化锶(SrO),0.8362822094889157,0.6485865316458415,0.9360819298646095,0.2921065344716934,0.09908729692204134,0.21469247098935224,0.6832769076027603,0.06524523794874751,0.186008907670454,0.824825814676085,0.017613733662566945,0.0,0.11409440543001091,0.7421509066204655
氧化锡(SnO2),0.43145657701114737,0.2151817961973978,0.6688128747017705,0.0041188526210282315,0.17591779904223134,0.018832704758160686,0.2728630870415155,0.2446957917238258,0.8063740765494778,0.8580534424369144,0.9790861487907987,0.11409440543001091,0.0,0.8772701520100143
二氧化硫(SO2),0.8977651047889972,0.9351240666073478,0.12507359153453382,0.7833087215175888,0.6155066128153084,0.9894325517918428,0.6703242622979613,0.7695848098591623,0.6521243174895255,0.7418859567677755,0.49865599238882485,0.7421509066204655,0.8772701520100143,0.0
