单品名称,均值,方差,标准差,变异系数(%),波动程度,最小值,最大值,中位数,样本数
七彩椒,1.2015654648956358,1.865083143519888,1.3656804690409423,113.6584321820169,高波动,0.1,17.439,0.84,527
七彩椒(份),1.8,0.8444444444444444,0.9189365834726815,51.05203241514897,高波动,1.0,4.0,2.0,10
上海青,8.277210010881394,47.46924117915901,6.889792535277024,83.23810228590986,高波动,0.138,43.597,6.043,919
上海青(份),10.696864111498257,104.2749202017495,10.211509202941038,95.46264303726637,高波动,1.0,118.0,7.0,287
东门口小白菜,3.548225287356322,6.615353294750784,2.572032910899622,72.48786936006445,高波动,0.138,15.1,2.782,435
丝瓜尖,0.7487894736842106,0.4100906198830409,0.6403831820738587,85.52246052859573,高波动,0.26,3.013,0.497,19
云南油麦菜,13.17821483375959,119.49515101652754,10.931383764946117,82.95041401922208,高波动,0.158,76.615,10.3645,782
云南油麦菜(份),21.58048780487805,280.09252787882406,16.73596510150592,77.55137535733981,高波动,1.0,164.0,17.5,410
云南生菜,19.642544444444443,169.10877782064284,13.004183089323329,66.20416782613589,高波动,0.187,76.379,17.064,810
云南生菜(份),35.8125,565.2604949874684,23.77520756980827,66.38801415653269,高波动,1.0,151.0,34.0,400
余干椒,1.69535,1.7589888710526318,1.326268777832243,78.22979195046706,高波动,0.172,4.609,1.2135,20
保康高山大白菜,32.42368,536.8492657764828,23.170007893319386,71.46014238149213,高波动,1.086,138.485,27.387999999999998,200
冰草,0.961,0.943830625,0.9715094569791897,101.09359593956188,高波动,0.143,4.055,0.766,17
冰草(盒),1.2608695652173914,0.2015810276679842,0.4489777585448796,35.60858085011114,中等波动,1.0,2.0,1.0,23
净藕,25.661509310986965,419.3224801923643,20.477365069568016,79.79797611047235,高波动,0.223,163.55,22.7075,1074
南瓜尖,4.607,3.1569686666666676,1.7767860497726415,38.56709463365838,中等波动,2.084,6.23,5.057,4
双孢菇,2.8023124999999998,1.8115406552690598,1.3459348629369328,48.02943508038211,中等波动,-0.325,7.346,2.8449999999999998,224
双孢菇(份),2.5,5.666666666666667,2.3804761428476167,95.21904571390468,高波动,1.0,6.0,1.5,4
双孢菇(盒),14.433447098976108,48.67791855626724,6.976956252999386,48.3388078063093,中等波动,1.0,57.0,13.0,293
双沟白菜,1.4429999999999998,1.0396819999999996,1.0196479784710013,70.66167556971597,高波动,0.722,2.1639999999999997,1.4429999999999998,2
和丰阳光海鲜菇(包),5.7368421052631575,10.649122807017546,3.2632993744089043,56.8832001043754,高波动,1.0,10.0,6.0,19
四川红香椿,2.2067748344370863,4.835911802295806,2.1990706678721823,99.65088569777582,高波动,0.125,12.849,1.537,151
圆茄子,2.0886309523809525,4.8758670683044585,2.208136560157559,105.72171965757641,高波动,0.301,18.819,1.4585000000000001,504
外地茼蒿,2.7234758364312266,3.5996234891527505,1.8972673741865564,69.66345538327549,高波动,0.222,11.003,2.344,269
外地茼蒿(份),5.7727272727272725,12.374458874458872,3.5177349067914245,60.93714011764673,高波动,2.0,15.0,5.0,22
大白菜,39.973370833333334,1513.0438468225304,38.897864296417744,97.3094424750921,高波动,0.774,244.4,24.153,480
大白菜秧,4.1345,7.5600916666666675,2.7495620863451453,66.50289240162402,高波动,0.671,7.199,4.3340000000000005,4
大芥兰,3.74,2.913698000000001,1.706955769784326,45.64052860385898,中等波动,2.533,4.947,3.74,2
大龙茄子,5.9249644670050765,24.870213116077906,4.987004423105909,84.16935579744865,高波动,0.292,34.276,4.461,197
奶白菜,7.632950131233596,23.42636516965177,4.84007904580615,63.410332343202704,高波动,0.025,36.049,7.034,762
奶白菜(份),28.40573770491803,272.604246778655,16.510731261172385,58.124634651941456,高波动,1.0,153.0,26.0,244
奶白菜苗,4.20725,1.6234582499999999,1.274150010791508,30.284627982447155,中等波动,2.318,5.0809999999999995,4.715,4
姜蒜小米椒组合装(小份),5.103825136612022,13.085081218654087,3.617330675878843,70.87489439891095,高波动,1.0,25.0,4.0,366
姬菇,1.1500733137829913,0.3736788681386924,0.6112927843011828,53.152505755518156,高波动,0.131,4.185,1.153,341
姬菇(份),6.82,19.442020202020203,4.409310626619563,64.65264848415782,高波动,1.0,21.0,6.0,100
姬菇(包),2.9832869080779942,4.513686372761084,2.124543803446068,71.21486698759463,高波动,1.0,15.0,2.0,359
娃娃菜,13.055232558139535,369.8746741816458,19.232126096239224,147.31354658441978,高波动,1.0,407.0,9.0,688
小白菜,3.5717635983263594,6.18241873854635,2.486447011007142,69.6139859920245,高波动,0.193,11.493,2.929,478
小白菜(份),7.25531914893617,14.194264569842737,3.7675276468584458,51.92780041124544,高波动,1.0,15.0,7.0,47
小皱皮,2.020246913580247,3.028614988271605,1.7402916388558571,86.1425218451017,高波动,0.084,7.579,1.665,81
小皱皮(份),11.73469387755102,71.28627087198515,8.443119735736616,71.9500638349729,高波动,1.0,56.0,10.0,441
小米椒,2.4741076923076926,5.209951151053741,2.2825317415216246,92.25676588849785,高波动,0.019,30.453,2.112,585
小米椒(份),22.19877049180328,223.97067610327548,14.965649872400313,67.41657101201285,高波动,1.0,210.0,20.0,488
小青菜,7.09958764940239,12.726382075136579,3.567405510330523,50.24806631735592,高波动,0.21,24.301,6.9605,502
小青菜(份),22.664804469273744,191.05555206829453,13.82228461826389,60.98567775866985,高波动,1.0,70.0,22.0,179
平菇,7.02474861878453,24.087603252421886,4.907912310995571,69.86602051312651,高波动,0.117,45.035,6.5715,362
快菜,9.1272,1.541960177777778,1.2417568915765187,13.60501458910201,低波动,6.004,10.315,9.3155,10
春菜,1.1361818181818182,0.7511205367965367,0.8666721045450446,76.27934989594728,高波动,0.316,4.021,0.7975,22
木耳菜,3.7212351543942996,5.163355442189791,2.2723017938182837,61.06310672506111,高波动,0.235,16.849,3.222,421
木耳菜(份),1.08,0.0766666666666667,0.2768874620972692,25.63772797196937,低波动,1.0,2.0,1.0,25
本地上海青,9.781918032786885,32.05918160983605,5.66208279786123,57.88315521437766,高波动,0.388,27.89,8.727,61
本地小毛白菜,2.5748936170212766,6.368971705827938,2.523682172110414,98.01112385489131,高波动,0.4409999999999999,12.853,1.743,47
本地黄心油菜,11.957582608695652,54.14124219267732,7.358073266329802,61.53478932254208,高波动,0.651,35.351,10.558,115
杏鲍菇,4.999365229110512,12.325684391393946,3.510795407225255,70.22482347923791,高波动,0.138,42.436,4.085,742
杏鲍菇(250克),2.0,1.0,1.0,50.0,中等波动,1.0,3.0,2.0,5
杏鲍菇(份),5.368421052631579,9.023391812865498,3.003896105537856,55.954927456097316,高波动,1.0,9.0,7.0,19
杏鲍菇(袋),4.107033639143731,58.151085345490706,7.625685893445304,185.67381140406658,高波动,1.0,111.0,2.0,327
枝江红菜苔,12.923057291666666,193.73869977216586,13.919004984989618,107.7067498103965,高波动,0.209,89.525,8.561499999999999,384
枝江红菜苔(份),6.019230769230769,10.921191553544496,3.304722613706708,54.90273990822646,高波动,2.0,20.0,5.0,52
枝江青梗散花,17.274691394658753,104.30789942233653,10.213123881669924,59.12188905920351,高波动,0.277,47.649,15.831,337
槐花,0.465,0.15885884210526316,0.39857100008061697,85.71419356572407,高波动,0.082,1.375,0.2955,20
水果辣椒,0.9523666666666667,0.25402492988505754,0.5040088589350961,52.92172401404529,高波动,0.217,1.818,0.9949999999999999,30
水果辣椒(份),3.3294117647058825,4.842577030812325,2.2005856108800503,66.09532753526652,高波动,1.0,9.0,3.0,85
水果辣椒(橙色),0.415,,,,高波动,0.415,0.415,0.415,1
油菜苔,2.2625555555555557,2.117126732026144,1.4550349590391785,64.30935830355354,高波动,0.501,4.872,1.9575,18
泡泡椒(精品),42.557565789473685,401.5498059295734,20.038707691105568,47.08612280653985,中等波动,0.175,144.05,37.369,228
洪山菜苔,2.272727272727273,7.618181818181819,2.76010539983201,121.44463759260842,高波动,1.0,10.0,1.0,11
洪山菜薹珍品手提袋,3.0,,,,高波动,3.0,3.0,3.0,1
洪山菜薹莲藕拼装礼盒,1.0,0.0,0.0,0.0,低波动,1.0,1.0,1.0,3
洪湖莲藕(粉藕),15.399491094147583,271.68948953627245,16.48300608312308,107.03604412867432,高波动,1.0,131.0,11.0,393
