单品名称,样本数,最佳分布,最佳D,最佳p,是否通过(α=0.05)
芥菜,14,normal,0.10556631314723847,0.9928826559607277,True
黄花菜,6,normal,0.2130320149428654,0.8990559426671807,True
洪湖莲藕(脆藕),12,poisson,0.1545873045047604,0.8952653401165453,True
油菜苔,18,normal,0.12877232994387755,0.8900576105138289,True
鲜粽子叶,8,normal,0.1908576701046636,0.8835517478112382,True
杏鲍菇(250克),5,normal,0.24134474606854295,0.870360323116055,True
水果辣椒,30,normal,0.11019434169305098,0.8210743925746963,True
鲜粽叶,9,normal,0.19832951876232707,0.8062662900354616,True
紫圆茄,8,normal,0.21459005118234625,0.7846834417364585,True
牛排菇,10,normal,0.1944599567127714,0.7770395294151665,True
秀珍菇,17,normal,0.1644843791967182,0.6876534505130498,True
蔡甸藜蒿(份),16,poisson,0.17135605510436291,0.6736812823236713,True
外地茼蒿(份),22,poisson,0.14788739330471157,0.6681360377275629,True
白蒿,14,normal,0.188432895667355,0.6364145320115964,True
荸荠(份),6,normal,0.29289191087873745,0.5855755779580816,True
小青菜(份),179,normal,0.05851267753897898,0.5523798413965404,True
和丰阳光海鲜菇(包),19,normal,0.17640258417407223,0.5377400423609142,True
荠菜,14,normal,0.20438399829195486,0.5359424148938186,True
快菜,10,normal,0.24859143838772044,0.49121806655812317,True
紫螺丝椒,10,normal,0.25135845799368295,0.4773031977665467,True
鱼腥草,31,normal,0.14620923041106326,0.47712870545757735,True
野生粉藕,23,normal,0.1693729781357145,0.4733493189336475,True
余干椒,20,normal,0.18216901404757785,0.46625578166840964,True
紫白菜,17,normal,0.19716610154943937,0.4648424053779573,True
冰草,17,normal,0.1998971349002414,0.44768406736402533,True
姬菇,341,normal,0.04774935671944281,0.4057724175572397,True
春菜,22,normal,0.18394934083700443,0.3976963241479575,True
红灯笼椒(份),8,normal,0.29955334265783295,0.3919109833137857,True
马兰头,14,normal,0.23535211117766497,0.36239897674044774,True
红线椒,32,normal,0.15983930086691156,0.349328165299551,True
海鲜菇(包),119,normal,0.0848992102201448,0.33846937906256247,True
白菜苔,92,normal,0.09836009905071458,0.31474400497624244,True
鲜藕带(袋),7,normal,0.3571428571428571,0.26447526115819076,True
小白菜(份),47,normal,0.14403625893215738,0.25791159117077267,True
本地黄心油菜,115,normal,0.09334551207927011,0.25278353418546584,True
黑皮鸡枞菌,16,normal,0.24482401239947482,0.24902335124530972,True
豌豆尖,39,poisson,0.16047276896466334,0.24061139101347107,True
七彩椒(份),10,normal,0.3138536878544652,0.22543578436268652,True
苋菜(份),56,normal,0.13681259218654135,0.22392054154397367,True
杏鲍菇(份),19,normal,0.23280398914624895,0.21762539157322514,True
红薯尖(份),58,normal,0.1364121888089771,0.2104688186872533,True
紫贝菜,53,normal,0.1431337398241726,0.20677901000502696,True
菊花油菜,5,normal,0.44459137654040914,0.20481262216176188,True
槐花,20,normal,0.23824205555537242,0.17518061300983767,True
姬菇(份),100,normal,0.11449763785112987,0.13433043649468257,True
丝瓜尖,19,normal,0.2597484020834695,0.128043344223301,True
青杭椒,93,normal,0.12001440785477535,0.12636452390412778,True
枝江红菜苔(份),52,poisson,0.15981703058977764,0.1256432598749735,True
田七,96,normal,0.12009009925774039,0.11546506595169426,True
薄荷叶,31,normal,0.21262792219949284,0.10419302471179503,True
小皱皮,81,normal,0.132940323281088,0.10409674460264706,True
红椒(份),27,poisson,0.22849262888194502,0.10124936592066203,True
白玉菇,67,normal,0.14730701172295935,0.09849034977666427,True
襄甜红菜苔(袋),7,normal,0.4391456078804365,0.09587258067270188,True
辣妹子,73,normal,0.14379818389292087,0.08830406411717895,True
本地上海青,61,poisson,0.15762200782419522,0.08634204931655431,True
白玉菇(盒),42,poisson,0.19046812301788424,0.08283151158204172,True
