categorie1,categorie2,样本数,相关系数,p值,显著性,关系类型
花叶类,花菜类,1085,0.633438726242865,9.178915783488412e-123,Yes,正相关
水生根茎类,食用菌,1085,0.6047930299046324,3.2896551113592e-109,Yes,正相关
花叶类,食用菌,1085,0.596339775439451,1.812672553937286e-105,Yes,正相关
花叶类,辣椒类,1085,0.5949224412402988,7.494467048214072e-105,Yes,正相关
辣椒类,食用菌,1085,0.5349776246472935,2.325663290427563e-81,Yes,正相关
花菜类,食用菌,1085,0.46235569689564376,1.4367103127070134e-58,Yes,正相关
水生根茎类,花叶类,1085,0.4388697638495873,2.6738724060349158e-52,Yes,正相关
花菜类,辣椒类,1085,0.42961965641562705,5.81703101088102e-50,Yes,正相关
水生根茎类,花菜类,1085,0.39558602536365195,5.800811601541173e-42,Yes,正相关
水生根茎类,辣椒类,1085,0.3334968344382886,1.3500636645470485e-29,Yes,正相关
花叶类,茄类,1085,0.2522157962695762,3.3127045053444615e-17,Yes,正相关
水生根茎类,茄类,1085,-0.20991648301545132,2.858690100568548e-12,Yes,负相关
花菜类,茄类,1085,0.19291631978599233,1.4793231208670113e-10,Yes,正相关
茄类,食用菌,1085,-0.11441664215442206,0.0001588092560088895,Yes,负相关
茄类,辣椒类,1085,0.10327062131045495,0.0006571545799377413,Yes,正相关
