product1,product2,样本数,相关系数,p值,显著性,关系类型,簇
本地黄心油菜,虫草花(袋),3,-1.0,0.0,Yes,负相关,1
大龙茄子,菱角,3,1.0,0.0,Yes,正相关,1
枝江红菜苔,藕尖,3,1.0,0.0,Yes,正相关,1
枝江红菜苔(份),青杭椒(份),3,-1.0,0.0,Yes,负相关,1
枝江红菜苔(份),黑牛肝菌(盒),3,1.0,0.0,Yes,正相关,1
槐花,灯笼椒,4,-1.0,0.0,Yes,负相关,1
萝卜叶,青菜苔,3,1.0,0.0,Yes,正相关,1
海鲜菇,紫圆茄,3,1.0,0.0,Yes,正相关,1
荠菜,野藕,3,-1.0,0.0,Yes,负相关,1
灯笼椒,牛排菇,3,1.0,0.0,Yes,正相关,1
茼蒿(份),黄心菜,3,-1.0,0.0,Yes,负相关,1
艾蒿,青红杭椒组合装(份),3,-1.0,0.0,Yes,负相关,1
紫圆茄,西峡花菇,3,1.0,0.0,Yes,正相关,1
紫圆茄,青杭椒,3,1.0,0.0,Yes,正相关,1
组合椒系列,鲜藕带(袋),4,1.0,0.0,Yes,正相关,1
紫白菜,茼蒿(份),3,1.0,0.0,Yes,正相关,1
紫白菜,蔡甸藜蒿,3,-1.0,0.0,Yes,负相关,1
组合椒系列,菊花油菜,3,1.0,0.0,Yes,正相关,1
东门口小白菜,青菜苔,3,-1.0,0.0,Yes,负相关,1
紫苏,马兰头,3,1.0,0.0,Yes,正相关,1
紫螺丝椒,西峡香菇(份),3,1.0,0.0,Yes,正相关,1
紫螺丝椒,黄心菜,4,1.0,0.0,Yes,正相关,1
红尖椒(份),菌蔬四宝(份),3,-1.0,0.0,Yes,负相关,1
红杭椒,红莲藕带,3,1.0,0.0,Yes,正相关,1
红杭椒,青菜苔,3,1.0,0.0,Yes,正相关,1
红椒,藕尖,3,-1.0,0.0,Yes,负相关,1
红椒,青菜苔,3,-1.0,0.0,Yes,负相关,1
红椒,鸡枞菌,3,1.0,0.0,Yes,正相关,1
紫圆茄,莲蓬(个),3,-1.0,0.0,Yes,负相关,1
艾蒿,高瓜,3,1.0,0.0,Yes,正相关,1
紫圆茄,红杭椒,3,-1.0,0.0,Yes,负相关,1
蒲公英,马兰头,3,1.0,0.0,Yes,正相关,1
杏鲍菇(袋),菱角,4,1.0,0.0,Yes,正相关,1
蔡甸藜蒿,青菜苔,3,1.0,0.0,Yes,正相关,1
莲蓬(个),虫草花,3,-1.0,0.0,Yes,负相关,1
洪山菜苔,白玉菇(袋),3,1.0,0.0,Yes,正相关,1
洪山菜苔,银耳(朵),3,1.0,0.0,Yes,正相关,1
和丰阳光海鲜菇(包),圆茄子,3,-1.0,0.0,Yes,负相关,1
双孢菇(份),海鲜菇(份),3,-1.0,0.0,Yes,负相关,1
菌蔬四宝(份),青茄子,3,-1.0,0.0,Yes,负相关,1
菌蔬四宝(份),青线椒(份),4,-1.0,0.0,Yes,负相关,1
菌蔬四宝(份),野藕,4,-1.0,0.0,Yes,负相关,1
双孢菇(份),姬菇(份),3,-1.0,0.0,Yes,负相关,1
洪湖莲藕(粉藕),青菜苔,3,-1.0,0.0,Yes,负相关,1
洪湖莲藕(脆藕),青尖椒,3,1.0,0.0,Yes,正相关,1
双孢菇,薄荷叶,4,1.0,0.0,Yes,正相关,1
洪湖藕带,茼蒿,3,1.0,0.0,Yes,正相关,1
菊花油菜,青茄子,4,1.0,0.0,Yes,正相关,1
荸荠(份),青杭椒(份),3,1.0,0.0,Yes,正相关,1
杏鲍菇(袋),红尖椒(份),3,-1.0,0.0,Yes,负相关,1
洪湖藕带,野生粉藕,3,1.0,0.0,Yes,正相关,1
洪湖藕带,鲜粽子叶,4,1.0,0.0,Yes,正相关,1
槐花,黄花菜,3,-1.0,0.0,Yes,负相关,1
七彩椒,鸡枞菌,3,-1.0,0.0,Yes,负相关,1
槐花,青红杭椒组合装(份),3,1.0,0.0,Yes,正相关,1
杏鲍菇(250克),杏鲍菇(袋),3,1.0,0.0,Yes,正相关,1
四川红香椿,青菜苔,3,-1.0,0.0,Yes,负相关,1
虫草花,鸡枞菌,3,1.0,0.0,Yes,正相关,1
藕尖,青线椒,3,-1.0,0.0,Yes,负相关,1
藕尖,长线茄,3,1.0,0.0,Yes,正相关,1
杏鲍菇(份),红尖椒(份),4,1.0,0.0,Yes,正相关,1
杏鲍菇(份),荸荠(份),3,-1.0,0.0,Yes,负相关,1
杏鲍菇(袋),紫螺丝椒,3,-1.0,0.0,Yes,负相关,1
茶树菇(袋),西峡花菇,3,1.0,0.0,Yes,正相关,1
灯笼椒(份),菜心(份),4,1.0,0.0,Yes,正相关,1
南瓜尖,红椒,4,-1.0,0.0,Yes,负相关,1
奶白菜苗,木耳菜,3,-1.0,0.0,Yes,负相关,1
外地茼蒿,鲜粽子叶,3,1.0,0.0,Yes,正相关,1
青菜苔,黄心菜,3,-1.0,0.0,Yes,负相关,1
小青菜(份),紫白菜,3,-1.0,0.0,Yes,负相关,1
小青菜(份),春菜,3,1.0,0.0,Yes,正相关,1
青尖椒,鲜粽叶(袋),4,-1.0,0.0,Yes,负相关,1
小米椒,鸡枞菌,3,-1.0,0.0,Yes,负相关,1
姬菇(包),杏鲍菇(250克),3,-1.0,0.0,Yes,负相关,1
小米椒,西峡香菇(份),3,1.0,0.0,Yes,正相关,1
七彩椒,大白菜秧,4,-1.0,0.0,Yes,负相关,1
姬菇(份),萝卜叶,4,-1.0,0.0,Yes,负相关,1
木耳菜,蟹味菇(袋),4,-1.0,0.0,Yes,负相关,1
春菜,槐花,3,1.0,0.0,Yes,正相关,1
姬菇(份),蔡甸藜蒿(份),3,-1.0,0.0,Yes,负相关,1
奶白菜苗,黄心菜,4,-1.0,0.0,Yes,负相关,1
平菇,海鲜菇(份),3,-1.0,0.0,Yes,负相关,1
小白菜(份),蔡甸藜蒿(份),3,-1.0,0.0,Yes,负相关,1
本地上海青,紫苏,3,-1.0,0.0,Yes,负相关,1
本地上海青,水果辣椒(份),3,1.0,0.0,Yes,正相关,1
奶白菜苗,田七,3,1.0,0.0,Yes,正相关,1
姬菇(包),鸡枞菌,3,1.0,0.0,Yes,正相关,1
杏鲍菇,紫圆茄,3,1.0,0.0,Yes,正相关,1
小白菜,鸡枞菌,3,1.0,0.0,Yes,正相关,1
木耳菜,黑牛肝菌,3,1.0,0.0,Yes,正相关,1
七彩椒,艾蒿,3,1.0,0.0,Yes,正相关,1
青红杭椒组合装(份),黄花菜,4,-1.0,0.0,Yes,负相关,1
姜蒜小米椒组合装(小份),紫白菜,3,1.0,0.0,Yes,正相关,1
蟹味菇(盒),襄甜红菜苔(袋),4,1.0,0.0,Yes,正相关,1
小皱皮,杏鲍菇(250克),3,-1.0,0.0,Yes,负相关,1
野生粉藕,长线茄,3,-1.0,0.0,Yes,负相关,1
青茄子,黑牛肝菌(盒),3,1.0,0.0,Yes,正相关,1
牛排菇,鲜木耳,4,1.0,0.0,Yes,正相关,1
杏鲍菇,鸡枞菌,3,1.0,0.0,Yes,正相关,1
南瓜尖,双孢菇,3,1.0,0.0,Yes,正相关,1
茼蒿,藕尖,3,1.0,0.0,Yes,正相关,1
茼蒿,蔡甸藜蒿(份),3,1.0,0.0,Yes,正相关,1
牛首生菜,藕尖,3,1.0,0.0,Yes,正相关,1
牛首生菜,青菜苔,3,1.0,0.0,Yes,正相关,1
白蒿,薄荷叶,3,1.0,0.0,Yes,正相关,1
茶树菇(袋),菌菇火锅套餐(份),3,-1.0,0.0,Yes,负相关,1
牛首生菜,鲜粽子叶,3,1.0,0.0,Yes,正相关,1
花茄子,马齿苋,3,1.0,0.0,Yes,正相关,1
白玉菇(袋),赤松茸,3,1.0,0.0,Yes,正相关,1
芥菜,鲜木耳,3,1.0,0.0,Yes,正相关,1
白菜苔,紫白菜,3,1.0,0.0,Yes,正相关,1
白菜苔,荠菜,3,1.0,0.0,Yes,正相关,1
红椒(份),银耳(朵),3,-1.0,0.0,Yes,负相关,1
马齿苋,鲜粽子叶,3,1.0,0.0,Yes,正相关,1
姬菇(份),平菇,3,-1.0,0.0,Yes,负相关,1
西峡花菇,野生粉藕,3,-1.0,0.0,Yes,负相关,1
姜蒜小米椒组合装(小份),艾蒿,3,-1.0,0.0,Yes,负相关,1
姬菇(包),辣妹子,3,1.0,0.0,Yes,正相关,1
春菜,面条菜,3,1.0,0.0,Yes,正相关,1
姜蒜小米椒组合装(小份),赤松茸,3,1.0,0.0,Yes,正相关,1
小皱皮,马齿苋,3,1.0,0.0,Yes,正相关,1
西峡花菇,龙牙菜,3,1.0,0.0,Yes,正相关,1
姬菇,本地黄心油菜,3,-1.0,0.0,Yes,负相关,1
快菜,菱角,3,1.0,0.0,Yes,正相关,1
小米椒,本地黄心油菜,3,-1.0,0.0,Yes,负相关,1
外地茼蒿(份),野藕,3,1.0,0.0,Yes,正相关,1
赤松茸,青茄子,3,-1.0,0.0,Yes,负相关,1
萝卜叶,襄甜红菜苔(袋),3,-1.0,0.0,Yes,负相关,1
杏鲍菇,青菜苔,3,-1.0,0.0,Yes,负相关,1
小白菜,荠菜,5,-0.9999999999999999,1.4042654220543672e-24,Yes,负相关,1
紫圆茄,花茄子,5,0.9999999999999999,1.4042654220543672e-24,Yes,正相关,1
