销售日期,单品名称,分类名称,单品销量(天)
2020-07-01,七彩椒,辣椒类,1.909
2020-07-01,上海青,花叶类,11.475999999999999
2020-07-01,云南油麦菜,花叶类,32.579
2020-07-01,云南生菜,花叶类,41.966
2020-07-01,外地茼蒿,花叶类,2.623
2020-07-01,大白菜,花叶类,14.748
2020-07-01,姬菇,食用菌,1.138
2020-07-01,娃娃菜,花叶类,10.0
2020-07-01,小白菜,花叶类,4.288
2020-07-01,小米椒,辣椒类,4.383
2020-07-01,木耳菜,花叶类,3.039
2020-07-01,杏鲍菇,食用菌,11.888
2020-07-01,泡泡椒(精品),辣椒类,54.548
2020-07-01,洪湖藕带,水生根茎类,0.7310000000000001
2020-07-01,海鲜菇,食用菌,0.783
2020-07-01,灯笼椒,辣椒类,0.927
2020-07-01,甜白菜,花叶类,18.271
2020-07-01,竹叶菜,花叶类,11.352
2020-07-01,紫茄子,茄类,17.661
2020-07-01,红杭椒,辣椒类,2.129
2020-07-01,红椒,辣椒类,2.512
2020-07-01,红灯笼椒,辣椒类,1.953
2020-07-01,红薯尖,花叶类,22.402
2020-07-01,苋菜,花叶类,6.841
2020-07-01,菜心,花叶类,8.959
2020-07-01,菠菜,花叶类,5.4719999999999995
2020-07-01,西兰花,花菜类,34.554
2020-07-01,西峡香菇,食用菌,7.693
2020-07-01,金针菇,食用菌,13.863
2020-07-01,青尖椒,辣椒类,2.844
2020-07-01,青梗散花,花菜类,12.086
2020-07-01,青线椒,辣椒类,5.51
2020-07-01,青茄子,茄类,17.713
2020-07-01,高瓜,水生根茎类,4.119
2020-07-01,黄心菜,花叶类,4.837
2020-07-01,黄白菜,花叶类,6.5489999999999995
2020-07-02,七彩椒,辣椒类,1.825
2020-07-02,上海青,花叶类,6.806
2020-07-02,东门口小白菜,花叶类,1.392
2020-07-02,云南油麦菜,花叶类,27.056
2020-07-02,云南生菜,花叶类,44.873
2020-07-02,外地茼蒿,花叶类,0.857
2020-07-02,大白菜,花叶类,11.228
2020-07-02,姬菇,食用菌,1.539
2020-07-02,娃娃菜,花叶类,13.0
2020-07-02,小白菜,花叶类,4.55
2020-07-02,小米椒,辣椒类,4.148
2020-07-02,木耳菜,花叶类,3.124
2020-07-02,杏鲍菇,食用菌,10.164
2020-07-02,泡泡椒(精品),辣椒类,39.81
2020-07-02,洪湖藕带,水生根茎类,0.258
2020-07-02,海鲜菇,食用菌,2.254
2020-07-02,灯笼椒,辣椒类,1.679
2020-07-02,甜白菜,花叶类,13.548
2020-07-02,竹叶菜,花叶类,11.556000000000001
2020-07-02,紫茄子,茄类,14.432
2020-07-02,红杭椒,辣椒类,1.679
2020-07-02,红椒,辣椒类,3.2969999999999997
2020-07-02,红灯笼椒,辣椒类,1.3940000000000001
2020-07-02,红薯尖,花叶类,22.549
2020-07-02,苋菜,花叶类,8.112
2020-07-02,菜心,花叶类,14.275
2020-07-02,螺丝椒,辣椒类,5.844
2020-07-02,西兰花,花菜类,30.109
2020-07-02,西峡香菇,食用菌,17.345
2020-07-02,金针菇,食用菌,17.208000000000002
2020-07-02,青尖椒,辣椒类,1.6669999999999998
2020-07-02,青梗散花,花菜类,13.834
2020-07-02,青线椒,辣椒类,4.721
2020-07-02,青茄子,茄类,17.767
2020-07-02,高瓜,水生根茎类,4.342
2020-07-02,黄心菜,花叶类,10.625
2020-07-02,黄白菜,花叶类,4.811
2020-07-03,七彩椒,辣椒类,1.581
2020-07-03,上海青,花叶类,13.120000000000001
2020-07-03,东门口小白菜,花叶类,3.4779999999999998
2020-07-03,云南油麦菜,花叶类,36.709
2020-07-03,云南生菜,花叶类,36.309
2020-07-03,外地茼蒿,花叶类,2.09
2020-07-03,大白菜,花叶类,10.446
2020-07-03,姬菇,食用菌,1.259
2020-07-03,娃娃菜,花叶类,12.0
2020-07-03,小白菜,花叶类,3.099
2020-07-03,小米椒,辣椒类,3.935
2020-07-03,木耳菜,花叶类,2.306
2020-07-03,杏鲍菇,食用菌,9.443999999999999
2020-07-03,泡泡椒(精品),辣椒类,32.351
2020-07-03,海鲜菇,食用菌,1.816
2020-07-03,灯笼椒,辣椒类,1.369
2020-07-03,甜白菜,花叶类,13.562
