split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
0,2020-07-30,2020-07-31,2020-08-06,53,12,3.9431993266001655,2.705118333333333,0.7478215094454514,60.00095126263134,RandomForest,水生根茎类
0,2020-07-30,2020-07-31,2020-08-06,53,12,2.2719520808272007,1.707382771121713,0.916283914429949,38.797024860944354,GradientBoosting,水生根茎类
0,2020-07-30,2020-07-31,2020-08-06,53,12,2.5278858654128054,2.028555897197855,0.896360453956939,122.3425928262295,Huber,水生根茎类
1,2020-08-06,2020-08-07,2020-08-13,65,14,1.0020710024316066,0.7769814285714283,0.9619586020364246,54.11133769039244,RandomForest,水生根茎类
1,2020-08-06,2020-08-07,2020-08-13,65,14,1.04043136785642,0.7640827413693428,0.9589903226002572,53.40885519819316,GradientBoosting,水生根茎类
1,2020-08-06,2020-08-07,2020-08-13,65,14,1.6838175136056406,1.4814129184141183,0.8925888112106538,98.55292458064658,Huber,水生根茎类
2,2020-08-13,2020-08-14,2020-08-20,79,10,1.6158563306927989,1.0977279999999998,0.9496620279485121,55.95333987565822,RandomForest,水生根茎类
2,2020-08-13,2020-08-14,2020-08-20,79,10,1.2845452540554958,0.694763130885633,0.9681881412874989,29.655635708377748,GradientBoosting,水生根茎类
2,2020-08-13,2020-08-14,2020-08-20,79,10,1.6422719624823074,1.0284670721844735,0.948002748971861,42.03493300021122,Huber,水生根茎类
3,2020-08-20,2020-08-21,2020-08-27,89,14,1.9293348435591535,1.0967199999999986,0.9352368879863974,14.166294592583853,RandomForest,水生根茎类
3,2020-08-20,2020-08-21,2020-08-27,89,14,1.9642342641214334,1.1514183271494614,0.9328727185533945,19.944479417692396,GradientBoosting,水生根茎类
3,2020-08-20,2020-08-21,2020-08-27,89,14,1.6079303071256932,1.072351441006641,0.9550171532651343,25.032026536732584,Huber,水生根茎类
4,2020-08-27,2020-08-28,2020-09-04,103,12,1.2335574000426577,0.9037766666666668,0.960317115159117,38.85179394569655,RandomForest,水生根茎类
4,2020-08-27,2020-08-28,2020-09-04,103,12,1.4009027385852861,1.07778438628633,0.9488199766880028,43.19029038105054,GradientBoosting,水生根茎类
4,2020-08-27,2020-08-28,2020-09-04,103,12,1.2305969622317279,0.8683119462631962,0.9605073580177464,26.294845640641064,Huber,水生根茎类
5,2020-09-04,2020-09-05,2020-09-11,115,10,2.5722274591101026,1.7318100000000016,0.8536980075776109,38.45544175986269,RandomForest,水生根茎类
5,2020-09-04,2020-09-05,2020-09-11,115,10,2.8976773588661486,2.0354699270879784,0.8143343530368399,63.41073492328303,GradientBoosting,水生根茎类
5,2020-09-04,2020-09-05,2020-09-11,115,10,1.4408789093844039,1.160806628588962,0.9540922012203962,54.20313804136767,Huber,水生根茎类
6,2020-09-11,2020-09-12,2020-09-18,125,13,1.7356490807409584,1.3326476923076949,0.9354583952126789,19.11774566148308,RandomForest,水生根茎类
6,2020-09-11,2020-09-12,2020-09-18,125,13,1.7099577962352157,1.2623224739846,0.9373549590199085,16.187677832308363,GradientBoosting,水生根茎类
6,2020-09-11,2020-09-12,2020-09-18,125,13,2.4600150795735525,2.0805018977861818,0.8703443481413792,43.78999000115917,Huber,水生根茎类
7,2020-09-18,2020-09-19,2020-09-25,138,8,2.2577100328319424,1.6973175000000014,0.9226842828857009,81.1241942084981,RandomForest,水生根茎类
7,2020-09-18,2020-09-19,2020-09-25,138,8,2.6554086591452646,1.9073492222705108,0.8930466980938555,70.61555935931021,GradientBoosting,水生根茎类
7,2020-09-18,2020-09-19,2020-09-25,138,8,2.025476738146291,1.3715732101702298,0.937771980054845,34.973191902741,Huber,水生根茎类
0,2020-07-30,2020-07-31,2020-08-06,306,80,1.4140412247650351,1.1312652500000002,0.9340127724412726,15.766444111727058,RandomForest,花叶类
0,2020-07-30,2020-07-31,2020-08-06,306,80,1.5454999052919018,1.2966726851785846,0.9211732346845575,25.568811497380896,GradientBoosting,花叶类
0,2020-07-30,2020-07-31,2020-08-06,306,80,3.103850248212162,2.422208691644749,0.6820657912361916,37.72551501945309,Huber,花叶类
1,2020-08-06,2020-08-07,2020-08-13,386,79,2.4348431774374957,1.9031341772151888,0.8099910605813905,15.918036735152896,RandomForest,花叶类
1,2020-08-06,2020-08-07,2020-08-13,386,79,2.0758653475128996,1.5795885247024197,0.8618883215341796,14.999206646616955,GradientBoosting,花叶类
1,2020-08-06,2020-08-07,2020-08-13,386,79,3.6010230143243587,2.6832672598899543,0.5843920573967575,31.64622818667126,Huber,花叶类
2,2020-08-13,2020-08-14,2020-08-20,465,73,1.9130786251284317,1.4931389041095895,0.8534476836407532,12.689272907904739,RandomForest,花叶类
2,2020-08-13,2020-08-14,2020-08-20,465,73,2.0436782951961203,1.7206672845638311,0.8327553963815162,15.776604946519294,GradientBoosting,花叶类
2,2020-08-13,2020-08-14,2020-08-20,465,73,2.9252538704210655,2.2037600388196807,0.6573472878164808,20.941977823658238,Huber,花叶类
3,2020-08-20,2020-08-21,2020-08-27,538,69,1.863555473742582,1.3501481159420283,0.8358773203816066,12.645178739295657,RandomForest,花叶类
3,2020-08-20,2020-08-21,2020-08-27,538,69,2.008226007500449,1.5121315486865357,0.8094060447197338,14.362386204463077,GradientBoosting,花叶类
3,2020-08-20,2020-08-21,2020-08-27,538,69,2.9365670146343548,2.307522037170644,0.5924660620801043,22.39729298507503,Huber,花叶类
4,2020-08-27,2020-08-28,2020-09-03,607,65,1.6442415381726336,1.1519390769230766,0.913306967412852,10.258964879412067,RandomForest,花叶类
4,2020-08-27,2020-08-28,2020-09-03,607,65,1.3432033803023005,0.9125175280889695,0.9421455837000475,8.417283121841873,GradientBoosting,花叶类
4,2020-08-27,2020-08-28,2020-09-03,607,65,3.2212329983901022,2.515217777638076,0.6672659525661193,29.855814824301564,Huber,花叶类
5,2020-09-03,2020-09-04,2020-09-10,672,87,1.219091967213359,0.8880298850574716,0.9564550494592299,8.791701410025118,RandomForest,花叶类
