销售日期,分类编码,分类名称,销售总量_kg,销售额(元),成本额(元),毛利(元),平均销售单价,平均批发价格,平均加成率,平均损耗率,打折销售比例,年,月,日,星期,是否周末,补货量_kg
2020-07-01,1011010101,花叶类,205.402,1503.7896,991.68855,512.10105,7.603820224719101,5.137370786516854,0.526692609421623,0.13304808988764044,0.07191011235955057,2020,7,1,2,False,236.9243294860257
2020-07-01,1011010201,花菜类,47.076,598.634,395.83628,202.79772,12.823529411764707,8.477058823529413,0.5110858301697807,0.11095294117647059,0.0,2020,7,1,2,False,52.95107782291681
2020-07-01,1011010402,水生根茎类,4.85,70.2838,44.78568,25.498119999999993,13.973333333333333,8.820666666666666,0.7142381752811781,0.2855666666666667,0.0,2020,7,1,2,False,6.788597023281856
2020-07-01,1011010501,茄类,35.374,176.818,144.72834999999998,32.08965000000001,5.066666666666666,4.259333333333333,0.6329991520774104,0.055753333333333335,0.0,2020,7,1,2,False,37.46266865296498
2020-07-01,1011010504,辣椒类,76.715,759.9902,408.05555000000004,351.93465,12.37915057915058,6.3725096525096525,0.8761765222667911,0.07684749034749035,0.0,2020,7,1,2,False,83.10111189415153
2020-07-01,1011010801,食用菌,35.365,368.602,229.94141,138.66059,11.866666666666667,7.314916666666666,0.5979296887022046,0.07832333333333333,0.008333333333333333,2020,7,1,2,False,38.37028892995736
2020-07-02,1011010101,花叶类,198.362,1409.6647,825.6967500000001,583.96795,7.238534278959811,4.2373758865248226,0.7112675702845904,0.1308851063829787,0.08037825059101655,2020,7,2,3,False,228.23449633278167
2020-07-02,1011010201,花菜类,43.943,546.032,344.33378,201.69822,12.421052631578947,7.832631578947368,0.591160363047335,0.11723157894736841,0.0,2020,7,2,3,False,49.77862704649249
2020-07-02,1011010402,水生根茎类,4.6,53.1208,32.63124,20.48956,11.971428571428572,7.458571428571427,0.7030210583443488,0.2887857142857143,0.0,2020,7,2,3,False,6.467811589836296
2020-07-02,1011010501,茄类,32.199,172.092,79.62686000000001,92.46513999999999,5.392857142857143,2.5092857142857143,1.3413662857984556,0.05502142857142857,0.0,2020,7,2,3,False,34.07378852128166
2020-07-02,1011010504,辣椒类,66.064,669.7044,376.85583,292.84857,12.690265486725664,6.779646017699116,0.8069676157086141,0.08050752212389381,0.0,2020,7,2,3,False,71.84833110608824
2020-07-02,1011010801,食用菌,48.51,605.929,354.74897000000004,251.18003,13.638750000000002,7.8719375,0.6809041653208032,0.088300625,0.0,2020,7,2,3,False,53.20832867742176
2020-07-03,1011010101,花叶类,191.779,1406.4065,841.81756,564.58894,7.434074074074075,4.475753086419753,0.6753924327825155,0.13523308641975307,0.03209876543209877,2020,7,3,4,False,221.7695855245087
2020-07-03,1011010201,花菜类,42.076,495.368,312.45916,182.90884,12.0,7.583333333333333,0.5949059427320297,0.1186,0.0,2020,7,3,4,False,47.737690038574996
2020-07-03,1011010402,水生根茎类,9.572000000000001,76.693,53.69892,22.994079999999997,8.2,5.61,0.4616755793226381,0.2924999999999999,0.5,2020,7,3,4,False,13.529328621908128
2020-07-03,1011010501,茄类,35.896,196.243,142.29532,53.947680000000005,5.7368421052631575,4.421052631578948,0.755759289456337,0.05623684210526316,0.0,2020,7,3,4,False,38.03496639991077
2020-07-03,1011010504,辣椒类,64.253,670.6646,401.82115,268.84345,12.840528634361235,7.122731277533039,0.725987443878033,0.08219735682819383,0.0,2020,7,3,4,False,70.00742531961993
2020-07-03,1011010801,食用菌,42.442,546.295,312.27863,234.01637,14.323489932885908,8.120671140939598,0.7432864420851593,0.091648322147651,0.0,2020,7,3,4,False,46.72419398216697
2020-07-04,1011010101,花叶类,236.587,1841.4,1137.29509,704.10491,7.84296577946768,4.921863117870722,0.6242074109750272,0.13797927756653994,0.005703422053231939,2020,7,4,5,True,274.45627911603054
2020-07-04,1011010201,花菜类,55.662,702.186,457.40441999999996,244.78158000000002,12.619047619047619,8.220476190476191,0.5535791039264336,0.11055238095238094,0.0,2020,7,4,5,True,62.5804137399349
2020-07-04,1011010402,水生根茎类,5.439,118.7532,76.22823,42.52497,22.075,14.190625,0.685345615567427,0.26975,0.0,2020,7,4,5,True,7.448134200616226
2020-07-04,1011010501,茄类,57.067,327.403,177.76086,149.64214,5.96969696969697,3.266868686868687,0.8602939615091592,0.05705959595959596,0.0,2020,7,4,5,True,60.520261678759006
2020-07-04,1011010504,辣椒类,81.282,826.4166,464.50121,361.91539,12.247098976109216,6.454505119453925,0.8377120888334753,0.08019453924914675,0.0034129692832764505,2020,7,4,5,True,88.36868606286386
2020-07-04,1011010801,食用菌,47.262,578.7036,346.67418,232.02942000000002,14.091228070175438,8.500233918128655,0.670419294960805,0.08971228070175438,0.017543859649122806,2020,7,4,5,True,51.91984797557742
2020-07-05,1011010101,花叶类,223.899,1573.1793,956.80848,616.37082,7.1055118110236215,4.3685236220472445,0.6514398159465651,0.12544429133858268,0.011811023622047244,2020,7,5,6,True,256.0145657761433
2020-07-05,1011010201,花菜类,55.474,697.982,465.82392000000004,232.15807999999998,12.641509433962264,8.442075471698113,0.5110391893231547,0.11026037735849056,0.0,2020,7,5,6,True,62.34857770558272
2020-07-05,1011010402,水生根茎类,4.019,40.19,21.782980000000002,18.40702,10.0,5.419999999999999,0.8450184501845018,0.2925,0.0,2020,7,5,6,True,5.680565371024735
2020-07-05,1011010501,茄类,61.816,411.3631,248.61746,162.74564,7.076576576576577,4.341261261261261,0.7168246678050599,0.0676963963963964,0.018018018018018018,2020,7,5,6,True,66.30458121266996
2020-07-05,1011010504,辣椒类,98.496,1016.2366,595.02793,421.20867,12.12897727272727,6.5725,0.7868062492519197,0.08266448863636364,0.002840909090909091,2020,7,5,6,True,107.3718380896253
2020-07-05,1011010801,食用菌,73.213,732.6238,430.89539,301.72841,12.87632850241546,7.70792270531401,0.7148951373123357,0.0879864734299517,0.0,2020,7,5,6,True,80.27622164261484
2020-07-06,1011010101,花叶类,195.74,1511.5968,952.11855,559.47825,7.952983293556087,5.077112171837709,0.6032471586346227,0.1328928400954654,0.03579952267303103,2020,7,6,0,False,225.73911167052327
