category,model,train_r2,test_r2,train_mae,test_mae,price_elasticity,price_elasticity_pvalue,heteroscedasticity_p,aic,bic,first_stage_f,weak_instruments,n_outliers
花叶类,Huber,0.7217177892093607,0.6589236288068638,0.3457775254666502,0.4094516470931671,-0.032687556902406226,,,,,,,10267.0
花叶类,RandomForest,0.9782633599643786,0.9250686598177847,0.10614965613101514,0.20183569053524783,,,,,,,,
花叶类,GradientBoosting,0.9911852254887518,0.9281687217244036,0.06774255860389167,0.19689566599348438,,,,,,,,
辣椒类,Huber,0.7313498945231456,0.5534570925894945,0.37852333463016236,0.5120949127434861,-0.04963349658130619,,,,,,,5311.0
辣椒类,RandomForest,0.9600660610054987,0.8371551758710296,0.1499030061627121,0.32841320870156093,,,,,,,,
辣椒类,GradientBoosting,0.9821713168458034,0.7582674300092298,0.10076234451319736,0.42479952496140316,,,,,,,,
花菜类,Huber,0.6171253126256331,0.05452290967389661,0.3431326295385263,0.6191583645124364,-0.13900519070598003,,,,,,,1086.0
花菜类,RandomForest,0.8551334150835658,0.5873447929219688,0.2147502166453589,0.3565673063858701,,,,,,,,
花菜类,GradientBoosting,0.9784559035394365,0.5087519241084495,0.09168773331673108,0.3945858906609336,,,,,,,,
食用菌,Huber,0.7415775842001255,0.5077393000958901,0.3612147762144773,0.5034310935072557,-0.028328267881067615,,,,,,,5560.0
食用菌,RandomForest,0.9716515514133662,0.8383813410386654,0.12282067777999565,0.27729120472959634,,,,,,,,
食用菌,GradientBoosting,0.9883868549803934,0.8445225279818728,0.08163913671845015,0.2713788031677208,,,,,,,,
茄类,Huber,0.7741671382384434,0.700484038233254,0.38957502065455285,0.4281930254170066,0.0016691802265045312,,,,,,,2178.0
茄类,RandomForest,0.9538629559831534,0.8157891298009878,0.1718588134173931,0.3154796340740384,,,,,,,,
茄类,GradientBoosting,0.9872734283131479,0.8107073642943785,0.09053355793235181,0.31676274909653307,,,,,,,,
水生根茎类,Huber,0.7244978086408089,0.6419316170949143,0.43640634614343743,0.5273570806336747,-0.08017034308226356,,,,,,,1186.0
水生根茎类,RandomForest,0.8995039772608346,0.6759206932137074,0.2571071015842473,0.5262821004276164,,,,,,,,
水生根茎类,GradientBoosting,0.9831144889528854,0.5095293582674137,0.10834617115557905,0.6503575313592911,,,,,,,,
