category,date,optimal_price,optimal_quantity,wholesale_cost,expected_profit,profit_std,markup_ratio,service_level
水生根茎类,2023-07-01,9.4,8.5,7.227996246660646,16.62,0.0,1.3,0.8
水生根茎类,2023-07-02,9.39,11.8,7.220769987219209,22.99,0.0,1.3,0.8
水生根茎类,2023-07-03,9.17,13.4,7.054859454795839,25.43,0.0,1.3,0.8
水生根茎类,2023-07-04,8.44,10.9,6.495088592264478,19.06,0.0,1.3,0.8
水生根茎类,2023-07-05,9.88,7.2,7.6025032703145,14.82,0.0,1.3,0.8
水生根茎类,2023-07-06,9.2,13.5,7.077677116465016,25.73,0.0,1.3,0.8
水生根茎类,2023-07-07,8.77,7.4,6.744146062584841,13.49,0.0,1.3,0.8
花叶类,2023-07-01,6.87,22.5,5.2849584723880625,32.12,0.0,1.3,0.8
花叶类,2023-07-02,6.48,26.7,4.984935939991262,35.97,0.0,1.3,0.8
花叶类,2023-07-03,6.58,27.7,5.060604987444606,37.91,0.0,1.3,0.8
花叶类,2023-07-04,6.39,25.2,4.918353377433206,33.5,0.0,1.3,0.8
花叶类,2023-07-05,6.26,28.3,4.814419133686512,36.79,0.0,1.3,0.8
花叶类,2023-07-06,6.21,19.6,4.774075029657305,25.23,0.0,1.3,0.8
花叶类,2023-07-07,6.84,19.5,5.262244488702576,27.75,0.0,1.3,0.8
花菜类,2023-07-01,11.27,16.0,8.66679302252681,37.41,0.0,1.3,0.8
花菜类,2023-07-02,10.11,23.9,7.778657184456951,50.17,0.0,1.3,0.8
花菜类,2023-07-03,11.1,18.4,8.536285614954924,42.43,0.0,1.3,0.8
花菜类,2023-07-04,9.96,18.6,7.659281094657328,38.48,0.0,1.3,0.8
花菜类,2023-07-05,10.59,31.3,8.144162341618076,68.74,0.0,1.3,0.8
花菜类,2023-07-06,9.85,25.9,7.576786232125168,52.96,0.0,1.3,0.8
花菜类,2023-07-07,9.84,21.5,7.569374743975558,43.98,0.0,1.3,0.8
茄类,2023-07-01,5.54,21.1,4.262767430854233,24.24,0.0,1.3,0.8
茄类,2023-07-02,5.95,22.5,4.573988864781853,27.82,0.0,1.3,0.8
茄类,2023-07-03,6.1,22.3,4.695415526422508,28.31,0.0,1.3,0.8
茄类,2023-07-04,6.02,17.8,4.632372281946464,22.22,0.0,1.3,0.8
茄类,2023-07-05,5.56,19.4,4.278585153072241,22.39,0.0,1.3,0.8
茄类,2023-07-06,6.28,20.5,4.83227705909856,26.7,0.0,1.3,0.8
茄类,2023-07-07,5.67,20.9,4.36116061854202,24.66,0.0,1.3,0.8
辣椒类,2023-07-01,7.44,9.6,5.721244500982953,14.81,0.0,1.3,0.8
辣椒类,2023-07-02,7.91,15.3,6.085617595294015,25.09,0.0,1.3,0.8
辣椒类,2023-07-03,7.75,23.8,5.958948184355483,38.29,0.0,1.3,0.8
辣椒类,2023-07-04,7.55,14.6,5.809917210805718,22.95,0.0,1.3,0.8
辣椒类,2023-07-05,7.97,14.6,6.127153287857627,24.22,0.0,1.3,0.8
辣椒类,2023-07-06,6.84,13.0,5.2599670567022185,18.51,0.0,1.3,0.8
辣椒类,2023-07-07,7.11,15.7,5.470298572794018,23.23,0.0,1.3,0.8
食用菌,2023-07-01,14.92,9.8,11.47384020989658,30.37,0.0,1.3,0.8
食用菌,2023-07-02,15.43,7.7,11.869005690312816,24.63,0.0,1.3,0.8
食用菌,2023-07-03,15.6,10.3,12.002135980886173,33.32,0.0,1.3,0.8
食用菌,2023-07-04,16.38,11.1,12.60258593523741,37.88,0.0,1.3,0.8
食用菌,2023-07-05,15.22,19.1,11.706143551674034,60.24,0.0,1.3,0.8
食用菌,2023-07-06,15.47,13.8,11.896758443826965,44.43,0.0,1.3,0.8
食用菌,2023-07-07,15.09,9.0,11.611433696935386,28.22,0.0,1.3,0.8
