category,model,train_r2,test_r2,train_mae,test_mae,price_elasticity,is_best
花叶类,LinearRegression,0.612179003490547,0.573595972961832,0.4981098312815888,0.5913292052459078,-0.20796340754804743,False
花叶类,HuberRegressor,0.6020751027789082,0.5915154864883813,0.4884414917052412,0.5614013419797472,-0.08180188089178093,False
花叶类,RandomForest,0.784080116990158,0.6912380380093208,0.36364742497320995,0.4720565635924277,,True
花叶类,GradientBoosting,0.7995806048970489,0.6687849191782516,0.350285301584232,0.49474604635349506,,False
辣椒类,LinearRegression,0.5874987888544763,0.6351144471351753,0.5836420496890194,0.6011926925977951,0.09135313003368987,False
辣椒类,HuberRegressor,0.5793829270865405,0.650512943307425,0.5740975681896565,0.584229518840757,0.012533893217318091,False
辣椒类,RandomForest,0.8159356266980672,0.7203459399077813,0.37020634135193414,0.49301547807804075,,True
辣椒类,GradientBoosting,0.8432628240785799,0.6996476878394056,0.3443443064193828,0.5183348967178352,,False
花菜类,LinearRegression,0.4823138232872505,0.08496069686900698,0.44317938850061694,0.613676890366037,-0.5635188664033335,False
花菜类,HuberRegressor,0.42148219015625055,0.39534524277018834,0.4213999571972207,0.43158045377119686,-0.10554035276744625,False
花菜类,RandomForest,0.7701013148630744,0.4182009124586058,0.28800990146840527,0.41695765867225887,,True
花菜类,GradientBoosting,0.9001952682032736,0.2404582777918266,0.19890105551030068,0.48286744612175614,,False
食用菌,LinearRegression,0.6331461627888564,0.4743524334206626,0.5033503345818517,0.572782954636232,-0.40691802826563983,False
食用菌,HuberRegressor,0.6257201273730784,0.5105426784774817,0.4957667973620032,0.5319721814831885,-0.25064839324524807,False
食用菌,RandomForest,0.8002919829967197,0.5245447830492602,0.35814827382225134,0.5233862384201294,,True
食用菌,GradientBoosting,0.8323429041494697,0.2820523418860523,0.3335427008520746,0.628677549974244,,False
水生根茎类,LinearRegression,0.7141642761575335,0.45166668181326974,0.5759581950017152,0.7964938234034171,-0.6961423322768567,False
水生根茎类,HuberRegressor,0.7043291055625984,0.5134142589301584,0.582689484787212,0.726411382193492,-0.19975324165741615,False
水生根茎类,RandomForest,0.8871608100985662,0.7388508249735315,0.342233275506139,0.5169871047818473,,True
水生根茎类,GradientBoosting,0.9317320434570628,0.6917069763729631,0.2751298128305394,0.576137771839528,,False
茄类,LinearRegression,0.6822293240575101,0.5759110091911119,0.4951039489701245,0.59235777026661,-0.4855855193611656,False
茄类,HuberRegressor,0.676306946156485,0.5893432885764927,0.4894936309735672,0.5745833156589947,-0.34024798880263896,False
茄类,RandomForest,0.851312739955818,0.7153435619362236,0.32329794204109724,0.44024667947398766,,True
茄类,GradientBoosting,0.8885048314277364,0.6945090051424835,0.2818022654789617,0.45199604958837586,,False
