销售日期,单品编码,单品名称,分类编码,分类名称,正常销量(千克),打折销量(千克),总销量(千克),正常销售单价(元/千克),打折销售单价(元/千克),平均销售单价(元/千克),批发价格(元/千克),成本加成率,损耗率(%)
2020-07-01,102900005115762,苋菜,1011010101,花叶类,6.841,0.0,6.841,6.0,0.0,6.0,3.88,0.5463917525773196,18.52
2020-07-01,102900051010455,黄白菜(2),1011010101,花叶类,6.5489999999999995,0.0,6.5489999999999995,9.0,0.0,9.0,4.63,0.9438444924406048,15.61
2020-07-01,102900051004294,青线椒,1011010504,辣椒类,5.51,0.0,5.51,14.0,0.0,14.0,6.81,1.0558002936857565,7.8
2020-07-01,102900051000944,洪湖藕带,1011010402,水生根茎类,0.7310000000000001,0.0,0.7310000000000001,39.8,0.0,39.8,29.43,0.3523615358477743,24.05
2020-07-01,102900011009970,青梗散花,1011010201,花菜类,12.086,0.0,12.086,9.0,0.0,9.0,6.03,0.4925373134328357,17.06
2020-07-01,102900011008522,甜白菜,1011010101,花叶类,18.271,0.0,18.271,8.0,0.0,8.0,4.44,0.8018018018018016,9.43
2020-07-01,102900011006948,外地茼蒿,1011010101,花叶类,2.623,0.0,2.623,16.0,0.0,16.0,11.69,0.3686911890504705,26.16
2020-07-01,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.953,0.0,1.953,14.0,0.0,14.0,8.24,0.6990291262135921,8.93
2020-07-01,102900005125815,杏鲍菇(1),1011010801,食用菌,11.888,0.0,11.888,10.0,0.0,10.0,6.16,0.6233766233766234,5.05
2020-07-01,102900005123880,灯笼椒(1),1011010504,辣椒类,0.927,0.0,0.927,12.0,0.0,12.0,7.5,0.6,16.33
2020-07-01,102900005119944,海鲜菇(1),1011010801,食用菌,0.783,0.0,0.783,16.0,0.0,16.0,10.29,0.554907677356657,9.89
2020-07-01,102900005118824,高瓜(1),1011010402,水生根茎类,4.119,0.0,4.119,10.0,0.0,10.0,5.65,0.7699115044247786,29.25
2020-07-01,102900005118817,菠菜,1011010101,花叶类,5.4719999999999995,0.0,5.4719999999999995,14.0,0.0,14.0,8.47,0.6528925619834709,18.51
2020-07-01,102900005117209,七彩椒(1),1011010504,辣椒类,1.909,0.0,1.909,16.0,0.0,16.0,7.58,1.1108179419525066,15.98
2020-07-01,102900005117056,泡泡椒(精品),1011010504,辣椒类,54.548,0.0,54.548,7.6,0.0,7.6,4.32,0.7592592592592593,7.08
2020-07-01,102900005116943,红杭椒,1011010504,辣椒类,2.129,0.0,2.129,18.0,0.0,18.0,7.83,1.2988505747126438,9.99
2020-07-01,102900005125808,小米椒,1011010504,辣椒类,4.383,0.0,4.383,25.8,0.0,25.8,12.1,1.132231404958678,5.86
2020-07-01,102900005116790,黄心菜(1),1011010101,花叶类,4.837,0.0,4.837,8.0,0.0,8.0,3.97,1.0151133501259444,10.64
2020-07-01,102900005116912,姬菇(1),1011010801,食用菌,1.138,0.0,1.138,14.0,0.0,14.0,8.16,0.7156862745098039,8.99
2020-07-01,102900005115786,竹叶菜,1011010101,花叶类,11.352,0.0,11.352,6.0,0.0,5.999999999999999,3.19,0.8808777429467082,13.62
2020-07-01,102900005115793,小白菜,1011010101,花叶类,4.288,0.0,4.288,16.0,0.0,16.0,9.24,0.7316017316017316,7.59
2020-07-01,102900005115823,上海青,1011010101,花叶类,11.476,0.0,11.476,10.0,0.0,10.0,7.03,0.4224751066856329,14.43
2020-07-01,102900005115908,菜心,1011010101,花叶类,8.959,0.0,8.959,8.0,0.0,8.0,4.6,0.7391304347826089,13.7
2020-07-01,102900005115946,木耳菜,1011010101,花叶类,3.039,0.0,3.039,7.0,0.0,7.0,4.2,0.6666666666666666,7.61
2020-07-01,102900005115960,大白菜,1011010101,花叶类,14.748,0.0,14.748,3.2,0.0,3.2,2.1,0.5238095238095238,22.27
2020-07-01,102900005115779,云南生菜,1011010101,花叶类,41.966,0.0,41.966,8.0,0.0,8.0,6.72,0.1904761904761905,15.25
