销售日期,单品编码,单品名称,分类编码,分类名称,正常销量(千克),打折销量(千克),总销量(千克),正常销售单价(元/千克),打折销售单价(元/千克),平均销售单价(元/千克),批发价格(元/千克),成本加成率,损耗率(%)
2023-06-24,102900011032343,七彩椒(2),1011010504,辣椒类,0.749,0.202,0.951,19.8,11.9,18.12197686645636,11.92,0.520300072689292,9.43
2023-06-24,102900005115823,上海青,1011010101,花叶类,5.127,0.0,5.127,8.0,0.0,8.0,4.32,0.8518518518518517,14.43
2023-06-24,102900011030097,云南油麦菜(份),1011010101,花叶类,24.0,2.0,26.0,4.5,2.7,4.361538461538462,2.94,0.4835164835164837,9.43
2023-06-24,102900011030059,云南生菜(份),1011010101,花叶类,49.0,9.0,58.0,4.5,3.1,4.2827586206896555,3.32,0.2899875363523059,9.43
2023-06-24,102900005116899,净藕(1),1011010402,水生根茎类,5.757,1.899,7.656,16.0,14.0,15.503918495297803,11.0,0.4094471359361641,5.54
2023-06-24,102900011034330,双孢菇(盒),1011010801,食用菌,10.0,2.0,12.0,5.5,3.3,5.133333333333334,3.39,0.5142576204523108,0.2
2023-06-24,102900051000463,圆茄子(2),1011010501,茄类,0.867,0.0,0.867,8.0,0.0,8.0,5.38,0.4869888475836431,6.71
2023-06-24,102900011006948,外地茼蒿,1011010101,花叶类,3.68,0.0,3.68,12.0,0.0,12.0,7.66,0.5665796344647519,26.16
2023-06-24,102900011008164,奶白菜,1011010101,花叶类,6.609,0.0,6.609,5.2,0.0,5.199999999999999,2.4,1.1666666666666663,15.68
2023-06-24,102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,5.0,2.0,7.0,4.8,4.8,4.8,2.63,0.8250950570342206,9.43
2023-06-24,102900005118831,娃娃菜,1011010101,花叶类,7.0,2.0,9.0,6.8,4.1,6.199999999999999,4.75,0.3052631578947367,2.48
2023-06-24,102900011032022,小皱皮(份),1011010504,辣椒类,16.0,2.0,18.0,2.8,2.25,2.738888888888889,1.51,0.8138337012509198,9.43
2023-06-24,102900011031100,小米椒(份),1011010504,辣椒类,20.0,0.0,20.0,5.8,0.0,5.8,2.36,1.457627118644068,9.43
2023-06-24,102900011023464,小青菜(1),1011010101,花叶类,5.97,0.0,5.97,5.200000000000001,0.0,5.200000000000001,3.0,0.7333333333333337,10.33
2023-06-24,102900005115946,木耳菜,1011010101,花叶类,1.93,0.839,2.769,6.0,4.8,5.636403033586132,3.25,0.7342778564880406,7.61
2023-06-24,102900011034026,枝江青梗散花,1011010201,花菜类,2.161,0.0,2.161,14.0,0.0,14.0,9.89,0.4155712841253791,9.43
2023-06-24,102900051000944,洪湖藕带,1011010402,水生根茎类,2.346,0.374,2.72,26.0,13.0,24.2125,18.0,0.3451388888888888,24.05
2023-06-24,106971533450003,海鲜菇(包),1011010801,食用菌,7.0,6.0,13.0,3.0,2.0,2.5384615384615383,1.95,0.301775147928994,0.0
2023-06-24,102900005115786,竹叶菜,1011010101,花叶类,16.569,0.0,16.569,4.0,0.0,4.0,2.41,0.6597510373443982,13.62
2023-06-24,102900005116257,紫茄子(2),1011010501,茄类,13.573,0.0,13.573,6.0,0.0,6.0,3.8,0.5789473684210527,6.07
2023-06-24,102900011035078,红椒(2),1011010504,辣椒类,2.905,1.045,3.95,20.0,14.0,18.4126582278481,13.46,0.3679538059322511,9.43
2023-06-24,102900011007969,红莲藕带,1011010402,水生根茎类,0.862,0.0,0.862,9.2,0.0,9.2,5.68,0.6197183098591549,16.63
2023-06-24,102900005119975,红薯尖,1011010101,花叶类,4.011,0.0,4.011,6.0,0.0,6.0,3.6,0.6666666666666666,8.42
2023-06-24,102900011016701,芜湖青椒(1),1011010504,辣椒类,17.986,0.0,17.986,5.2,0.0,5.2,2.83,0.8374558303886926,5.7
2023-06-24,102900005115762,苋菜,1011010101,花叶类,14.396,0.0,14.396,4.0,0.0,4.0,2.31,0.7316017316017316,18.52
2023-06-24,102900005115908,菜心,1011010101,花叶类,4.112,0.0,4.112,6.0,0.0,6.0,4.6,0.3043478260869566,13.7
2023-06-24,102900005118817,菠菜,1011010101,花叶类,3.252,0.0,3.252,14.0,0.0,14.0,9.63,0.4537902388369677,18.51
2023-06-24,102900011030110,菠菜(份),1011010101,花叶类,1.0,1.0,2.0,5.8,2.9,4.35,3.9,0.1153846153846153,9.43
2023-06-24,102900011001691,菱角,1011010402,水生根茎类,1.77,0.0,1.77,14.0,0.0,14.0,9.19,0.5233949945593037,9.61
2023-06-24,102900011031926,虫草花(份),1011010801,食用菌,3.0,0.0,3.0,3.7999999999999994,0.0,3.7999999999999994,2.66,0.4285714285714282,9.43
2023-06-24,102900011000328,螺丝椒,1011010504,辣椒类,9.3,0.0,9.3,10.0,0.0,10.0,6.24,0.6025641025641025,10.18
2023-06-24,102900011032251,螺丝椒(份),1011010504,辣椒类,15.0,0.0,15.0,3.9,0.0,3.9,2.78,0.4028776978417266,9.43
2023-06-24,102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,1.0,1.0,2.0,5.8,3.5,4.65,3.16,0.4715189873417722,0.84
2023-06-24,102900005116714,西兰花,1011010201,花菜类,9.387,0.0,9.387,14.0,0.0,14.0,8.42,0.66270783847981,9.26
2023-06-24,102900005115250,西峡花菇(1),1011010801,食用菌,6.18,0.0,6.18,24.0,0.0,24.0,15.6,0.5384615384615385,10.8
2023-06-24,106949711300259,金针菇(盒),1011010801,食用菌,12.0,6.0,18.0,2.0,1.3333333333333333,1.7777777777777777,1.45,0.2260536398467432,0.45
2023-06-24,102900011022764,长线茄,1011010501,茄类,6.831,0.0,6.831,12.0,0.0,12.0,6.94,0.7291066282420748,6.9
2023-06-24,102900011034439,青红杭椒组合装(份),1011010504,辣椒类,1.0,0.0,1.0,5.8,0.0,5.8,3.53,0.6430594900849859,9.43
2023-06-24,102900011032237,青线椒(份),1011010504,辣椒类,1.0,0.0,1.0,4.8,0.0,4.8,3.11,0.5434083601286174,9.43
2023-06-24,102900005116509,青茄子(1),1011010501,茄类,7.098,0.0,7.098,6.0,0.0,6.0,4.12,0.4563106796116504,5.01
2023-06-24,102900005118824,高瓜(1),1011010402,水生根茎类,1.955,1.091,3.0460000000000003,16.0,10.666666666666666,14.089735171810023,11.14,0.2647877173976681,29.25
2023-06-25,102900011032343,七彩椒(2),1011010504,辣椒类,1.048,0.0,1.048,20.8,0.0,20.8,11.93,0.743503772003353,9.43
2023-06-25,102900005115823,上海青,1011010101,花叶类,1.383,0.0,1.383,8.0,0.0,8.0,4.12,0.941747572815534,14.43
2023-06-25,102900005115984,云南油麦菜,1011010101,花叶类,4.232,0.0,4.232,7.2,0.0,7.2,4.48,0.607142857142857,12.81
2023-06-25,102900011030097,云南油麦菜(份),1011010101,花叶类,13.0,6.0,19.0,4.5,3.0,4.026315789473684,2.96,0.3602418207681365,9.43
2023-06-25,102900005115779,云南生菜,1011010101,花叶类,0.5569999999999999,0.0,0.5569999999999999,9.2,0.0,9.2,5.76,0.5972222222222222,15.25
2023-06-25,102900011030059,云南生菜(份),1011010101,花叶类,23.0,14.0,37.0,4.5,3.085714285714286,3.964864864864865,3.59,0.1044191824136113,9.43
2023-06-25,102900005116899,净藕(1),1011010402,水生根茎类,3.1710000000000003,2.08,5.251,16.0,10.666666666666666,13.887386529549929,11.0,0.2624896845045388,5.54
2023-06-25,102900011034330,双孢菇(盒),1011010801,食用菌,6.0,2.0,8.0,5.5,4.4,5.225,3.39,0.5412979351032446,0.2
2023-06-25,102900051000463,圆茄子(2),1011010501,茄类,0.616,0.0,0.616,8.0,0.0,8.0,4.44,0.8018018018018016,6.71
2023-06-25,102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,9.0,0.0,9.0,4.8,0.0,4.8,2.62,0.8320610687022899,9.43
2023-06-25,102900005118831,娃娃菜,1011010101,花叶类,6.0,1.0,7.0,6.8,6.8,6.799999999999999,4.83,0.4078674948240163,2.48
2023-06-25,102900011032022,小皱皮(份),1011010504,辣椒类,7.0,2.0,9.0,2.8,1.7,2.5555555555555554,1.45,0.7624521072796934,9.43
