销售日期,单品编码,单品名称,分类编码,分类名称,正常销量(千克),打折销量(千克),总销量(千克),正常销售单价(元/千克),打折销售单价(元/千克),平均销售单价(元/千克),批发价格(元/千克),成本加成率,损耗率(%)
2020-07-01,102900005115823,上海青,1011010101,花叶类,11.476,0.0,11.476,10.0,0.0,10.0,7.03,0.4224751066856329,14.43
2020-07-01,102900005115984,云南油麦菜,1011010101,花叶类,32.579,0.0,32.579,6.0,0.0,6.0,3.44,0.7441860465116279,12.81
2020-07-01,102900005115779,云南生菜,1011010101,花叶类,41.966,0.0,41.966,8.0,0.0,8.0,6.72,0.1904761904761905,15.25
2020-07-01,102900011006948,外地茼蒿,1011010101,花叶类,2.623,0.0,2.623,16.0,0.0,16.0,11.69,0.3686911890504705,26.16
2020-07-01,102900005118831,娃娃菜,1011010101,花叶类,9.0,1.0,10.0,6.9,6.4,6.85,4.13,0.6585956416464891,2.48
2020-07-01,102900005115946,木耳菜,1011010101,花叶类,3.039,0.0,3.039,7.0,0.0,7.0,4.2,0.6666666666666666,7.61
2020-07-01,102900051000944,洪湖藕带,1011010402,水生根茎类,0.7310000000000001,0.0,0.7310000000000001,39.8,0.0,39.8,29.43,0.3523615358477743,24.05
2020-07-01,102900005115786,竹叶菜,1011010101,花叶类,11.352,0.0,11.352,6.0,0.0,5.999999999999999,3.19,0.8808777429467082,13.62
2020-07-01,102900005116257,紫茄子(2),1011010501,茄类,17.661,0.0,17.661,6.0,0.0,6.0,6.56,-0.0853658536585365,6.07
2020-07-01,102900005119975,红薯尖,1011010101,花叶类,9.717,12.685,22.402,6.0,4.0,4.867511829300955,3.6,0.3520866192502653,8.42
2020-07-01,102900005115762,苋菜,1011010101,花叶类,6.841,0.0,6.841,6.0,0.0,6.0,3.88,0.5463917525773196,18.52
2020-07-01,102900005115908,菜心,1011010101,花叶类,8.959,0.0,8.959,8.0,0.0,8.0,4.6,0.7391304347826089,13.7
2020-07-01,102900005118817,菠菜,1011010101,花叶类,5.4719999999999995,0.0,5.4719999999999995,14.0,0.0,14.0,8.47,0.6528925619834709,18.51
2020-07-01,102900005116714,西兰花,1011010201,花菜类,34.554,0.0,34.554,14.0,0.0,14.0,9.23,0.5167930660888407,9.26
2020-07-01,102900005116509,青茄子(1),1011010501,茄类,17.713,0.0,17.713,4.0,0.0,4.0,1.63,1.45398773006135,5.01
2020-07-01,102900005118824,高瓜(1),1011010402,水生根茎类,4.119,0.0,4.119,10.0,0.0,10.0,5.65,0.7699115044247786,29.25
2020-07-02,102900005115823,上海青,1011010101,花叶类,6.806,0.0,6.806,10.0,0.0,10.0,7.03,0.4224751066856329,14.43
2020-07-02,102900005115984,云南油麦菜,1011010101,花叶类,27.056,0.0,27.056,6.0,0.0,6.0,3.58,0.6759776536312849,12.81
2020-07-02,102900005115779,云南生菜,1011010101,花叶类,44.409,0.464,44.873,8.0,3.4,7.952434648898001,4.23,0.8800081912288418,15.25
2020-07-02,102900011006948,外地茼蒿,1011010101,花叶类,0.857,0.0,0.857,16.0,0.0,16.0,11.75,0.3617021276595745,26.16
2020-07-02,102900005118831,娃娃菜,1011010101,花叶类,6.0,7.0,13.0,6.900000000000001,6.366666666666667,6.612820512820513,4.11,0.6089587622434338,2.48
2020-07-02,102900005115946,木耳菜,1011010101,花叶类,3.124,0.0,3.124,7.0,0.0,7.0,4.23,0.6548463356973994,7.61
2020-07-02,102900051000944,洪湖藕带,1011010402,水生根茎类,0.258,0.0,0.258,37.6,0.0,37.6,29.54,0.2728503723764388,24.05
2020-07-02,102900005115786,竹叶菜,1011010101,花叶类,11.556,0.0,11.556,6.0,0.0,6.000000000000001,3.18,0.8867924528301888,13.62
2020-07-02,102900005116257,紫茄子(2),1011010501,茄类,14.432,0.0,14.432,7.0,0.0,7.0,3.72,0.8817204301075268,6.07
2020-07-02,102900005119975,红薯尖,1011010101,花叶类,11.821,10.728,22.549,6.0,4.0,5.048472216062796,3.6,0.4023533933507767,8.42
2020-07-02,102900005115762,苋菜,1011010101,花叶类,8.112,0.0,8.112,6.0,0.0,6.0,3.93,0.5267175572519084,18.52
2020-07-02,102900005115908,菜心,1011010101,花叶类,14.275,0.0,14.275,8.0,0.0,8.0,4.52,0.769911504424779,13.7
2020-07-02,102900011000328,螺丝椒,1011010504,辣椒类,5.844,0.0,5.844,10.0,0.0,10.0,7.1,0.4084507042253522,10.18
2020-07-02,102900005116714,西兰花,1011010201,花菜类,30.109,0.0,30.109,14.0,0.0,14.0,8.9,0.5730337078651685,9.26
2020-07-02,102900005116509,青茄子(1),1011010501,茄类,17.767,0.0,17.767,4.0,0.0,4.0,1.46,1.7397260273972603,5.01
2020-07-02,102900005118824,高瓜(1),1011010402,水生根茎类,4.342,0.0,4.342,10.0,0.0,10.0,5.76,0.7361111111111112,29.25
2020-07-03,102900005115823,上海青,1011010101,花叶类,12.659,0.461,13.12,10.0,5.9,9.8559375,6.76,0.4579789201183432,14.43
2020-07-03,102900005115984,云南油麦菜,1011010101,花叶类,36.709,0.0,36.709,6.0,0.0,6.0,3.75,0.6,12.81
2020-07-03,102900005115779,云南生菜,1011010101,花叶类,36.309,0.0,36.309,8.0,0.0,8.0,4.61,0.7353579175704988,15.25
2020-07-03,102900011006948,外地茼蒿,1011010101,花叶类,2.09,0.0,2.09,16.0,0.0,16.0,11.75,0.3617021276595745,26.16
2020-07-03,102900005118831,娃娃菜,1011010101,花叶类,10.0,2.0,12.0,6.900000000000001,6.5,6.833333333333335,4.05,0.6872427983539099,2.48
2020-07-03,102900005115946,木耳菜,1011010101,花叶类,2.306,0.0,2.306,7.0,0.0,7.0,4.3,0.6279069767441862,7.61
2020-07-03,102900005115786,竹叶菜,1011010101,花叶类,9.064,2.061,11.125,6.0,4.0,5.6294831460674155,3.79,0.485351753579793,13.62
2020-07-03,102900005116257,紫茄子(2),1011010501,茄类,17.553,0.0,17.553,7.0,0.0,7.0,6.56,0.0670731707317073,6.07
2020-07-03,102900005119975,红薯尖,1011010101,花叶类,11.424,2.31,13.734,6.0,4.0,5.663608562691131,3.6,0.5732246007475363,8.42
2020-07-03,102900005115762,苋菜,1011010101,花叶类,7.694,0.0,7.694,6.0,0.0,6.0,3.57,0.680672268907563,18.52
2020-07-03,102900005115908,菜心,1011010101,花叶类,8.173,0.0,8.173,8.0,0.0,8.0,3.89,1.056555269922879,13.7
2020-07-03,102900011000328,螺丝椒,1011010504,辣椒类,9.099,0.0,9.099,10.0,0.0,10.0,6.58,0.5197568389057751,10.18
2020-07-03,102900005116714,西兰花,1011010201,花菜类,26.46,0.0,26.46,14.0,0.0,14.0,8.97,0.5607580824972128,9.26
2020-07-03,102900005116509,青茄子(1),1011010501,茄类,18.343,0.0,18.343,4.0,0.0,4.0,1.48,1.7027027027027026,5.01
2020-07-03,102900005118824,高瓜(1),1011010402,水生根茎类,4.41,5.162,9.572,10.0,6.4,8.058587547012118,5.61,0.4364683684513579,29.25
2020-07-04,102900005115823,上海青,1011010101,花叶类,28.186,0.0,28.186,10.0,0.0,10.0,6.56,0.5243902439024392,14.43
2020-07-04,102900005115984,云南油麦菜,1011010101,花叶类,42.962,0.368,43.330000000000005,6.0,5.6,5.9966028156012,3.75,0.5990940841603201,12.81
2020-07-04,102900005115779,云南生菜,1011010101,花叶类,51.205,0.0,51.205,8.0,0.0,8.0,5.77,0.3864818024263433,15.25
2020-07-04,102900005118831,娃娃菜,1011010101,花叶类,14.0,1.0,15.0,6.9,5.6,6.8133333333333335,4.09,0.6658516707416464,2.48
2020-07-04,102900005115946,木耳菜,1011010101,花叶类,4.099,0.0,4.099,7.0,0.0,7.0,4.28,0.6355140186915887,7.61
2020-07-04,102900051000944,洪湖藕带,1011010402,水生根茎类,2.332,0.0,2.332,37.6,0.0,37.6,25.48,0.4756671899529042,24.05
2020-07-04,102900005115786,竹叶菜,1011010101,花叶类,20.571,0.0,20.571,6.0,0.0,6.0,3.46,0.7341040462427746,13.62
2020-07-04,102900005116257,紫茄子(2),1011010501,茄类,33.045,0.0,33.045,7.0,0.0,7.0,3.94,0.7766497461928934,6.07
2020-07-04,102900005115908,菜心,1011010101,花叶类,13.034,0.0,13.034,8.0,0.0,8.0,3.53,1.26628895184136,13.7
