单品编码,单品名称,分类编码,分类名称,进货量(kg),加成率,售价(元/kg),预测销量(kg),预测批发价(元/kg),预估利润(元),利润排名
102900005116714,西兰花,1011010201,花菜类,16.81,0.3,10.38,16.81,7.98,40.25,1
102900011030059,云南生菜(份),1011010101,花叶类,36.01,0.3,4.78,36.01,3.68,39.72,2
102900005115250,西峡花菇(1),1011010801,食用菌,6.77,0.3,20.69,6.77,15.91,32.29,3
102900011034026,枝江青梗散花,1011010201,花菜类,11.19,0.3,12.12,11.19,9.32,31.29,4
102900051000944,洪湖藕带,1011010402,水生根茎类,4.25,0.3,23.87,4.25,18.36,23.38,5
102900011030097,云南油麦菜(份),1011010101,花叶类,24.94,0.3,3.8,24.94,2.92,21.86,6
102900011000328,螺丝椒,1011010504,辣椒类,8.68,0.3,9.97,8.68,7.67,19.97,7
102900011022764,长线茄,1011010501,茄类,8.81,0.3,9.26,8.81,7.12,18.83,8
102900011016701,芜湖青椒(1),1011010504,辣椒类,16.0,0.3,4.49,16.0,3.45,16.57,9
102900005116257,紫茄子(2),1011010501,茄类,14.25,0.3,4.97,14.25,3.82,16.33,10
102900011031100,小米椒(份),1011010504,辣椒类,23.01,0.3,2.83,23.01,2.18,15.04,11
102900005118824,高瓜(1),1011010402,水生根茎类,4.03,0.3,15.3,4.03,11.77,14.23,12
102900011030110,菠菜(份),1011010101,花叶类,10.82,0.3,5.23,10.82,4.02,13.05,13
102900005116899,净藕(1),1011010402,水生根茎类,6.21,0.3,8.78,6.21,6.75,12.57,14
102900011032251,螺丝椒(份),1011010504,辣椒类,10.0,0.3,4.35,10.0,3.34,10.02,15
102900011034330,双孢菇(盒),1011010801,食用菌,8.84,0.3,4.51,8.84,3.47,9.2,16
102900005115786,竹叶菜,1011010101,花叶类,12.96,0.3,3.07,12.96,2.36,9.19,17
102900005115823,上海青,1011010101,花叶类,6.8,0.3,5.47,6.8,4.2,8.58,18
102900005118831,娃娃菜,1011010101,花叶类,5.84,0.3,6.27,5.84,4.83,8.45,19
102900011008164,奶白菜,1011010101,花叶类,8.84,0.3,3.35,8.84,2.58,6.84,20
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,8.79,0.3,3.23,8.79,2.49,6.56,21
106949711300259,金针菇(盒),1011010801,食用菌,12.96,0.3,1.93,12.96,1.48,5.76,22
102900005119975,红薯尖,1011010101,花叶类,5.84,0.3,4.25,5.84,3.27,5.72,23
102900005115946,木耳菜,1011010101,花叶类,5.08,0.3,4.28,5.08,3.29,5.01,24
102900005115779,云南生菜,1011010101,花叶类,3.07,0.3,6.87,3.07,5.29,4.86,25
102900005115762,苋菜,1011010101,花叶类,6.8,0.3,3.08,6.8,2.37,4.84,26
102900011032022,小皱皮(份),1011010504,辣椒类,10.0,0.3,2.05,10.0,1.57,4.72,27
102900011023464,小青菜(1),1011010101,花叶类,4.89,0.3,3.75,4.89,2.89,4.24,28
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,4.03,0.3,4.28,4.03,3.3,3.99,29
106971533450003,海鲜菇(包),1011010801,食用菌,5.84,0.3,2.59,5.84,1.99,3.49,30
102900005115908,菜心,1011010101,花叶类,2.54,0.3,5.14,2.54,3.95,3.01,31
